Endpoint:,postgres://127.0.0.1/test?sslmode=disable;binary_parameters=yes
Table:,dryrun
RecordLimit:,100
Workers:,30
PaddingSize:,
Workload:,insert-update


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,27,35.1,35.1
1.1,1.2,0,0.0,35.1
1.2,1.3,0,0.0,35.1
1.3,1.5,0,0.0,35.1
1.5,1.6,0,0.0,35.1
1.6,1.8,0,0.0,35.1
1.8,1.9,0,0.0,35.1
1.9,2.1,7,9.1,44.2
2.1,2.4,0,0.0,44.2
2.4,2.6,0,0.0,44.2
2.6,2.9,0,0.0,44.2
2.9,3.1,3,3.9,48.1
3.1,3.5,0,0.0,48.1
3.5,3.8,0,0.0,48.1
3.8,4.2,1,1.3,49.4
4.2,4.6,0,0.0,49.4
4.6,5.1,0,0.0,49.4
5.1,5.6,0,0.0,49.4
5.6,6.1,0,0.0,49.4
6.1,6.7,0,0.0,49.4
6.7,7.4,0,0.0,49.4
7.4,8.1,1,1.3,50.6
8.1,9.0,0,0.0,50.6
9.0,9.8,1,1.3,51.9
9.8,10.8,0,0.0,51.9
10.8,11.9,1,1.3,53.2
11.9,13.1,0,0.0,53.2
13.1,14.4,2,2.6,55.8
14.4,15.9,2,2.6,58.4
15.9,17.4,2,2.6,61.0
17.4,19.2,0,0.0,61.0
19.2,21.1,1,1.3,62.3
21.1,23.2,2,2.6,64.9
23.2,25.5,0,0.0,64.9
25.5,28.1,3,3.9,68.8
28.1,30.9,3,3.9,72.7
30.9,34.0,1,1.3,74.0
34.0,37.4,0,0.0,74.0
37.4,41.1,1,1.3,75.3
41.1,45.3,1,1.3,76.6
45.3,49.8,0,0.0,76.6
49.8,54.8,0,0.0,76.6
54.8,60.2,3,3.9,80.5
60.2,66.3,9,11.7,92.2
66.3,72.9,6,7.8,100.0
72.9,80.2,0,0.0,100.0
80.2,88.2,0,0.0,100.0
88.2,97.0,0,0.0,100.0
97.0,106.7,0,0.0,100.0
106.7,117.4,0,0.0,100.0
117.4,129.1,0,0.0,100.0
129.1,142.0,0,0.0,100.0
142.0,156.2,0,0.0,100.0
156.2,171.9,0,0.0,100.0
171.9,189.1,0,0.0,100.0
189.1,208.0,0,0.0,100.0
208.0,228.8,0,0.0,100.0
228.8,251.6,0,0.0,100.0
251.6,276.8,0,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
