Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers100padding1k
RecordLimit:,50000
Workers:,100
PaddingSize:,1k
Workload:,update-uniform


update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,48055,95.9,95.9
1.0,1.1,227,0.5,96.4
1.1,1.2,0,0.0,96.4
1.2,1.3,0,0.0,96.4
1.3,1.5,0,0.0,96.4
1.5,1.6,0,0.0,96.4
1.6,1.8,0,0.0,96.4
1.8,1.9,0,0.0,96.4
1.9,2.1,62,0.1,96.5
2.1,2.4,0,0.0,96.5
2.4,2.6,0,0.0,96.5
2.6,2.9,0,0.0,96.5
2.9,3.1,32,0.1,96.6
3.1,3.5,0,0.0,96.6
3.5,3.8,0,0.0,96.6
3.8,4.2,72,0.1,96.7
4.2,4.6,0,0.0,96.7
4.6,5.1,32,0.1,96.8
5.1,5.6,0,0.0,96.8
5.6,6.1,18,0.0,96.8
6.1,6.7,0,0.0,96.8
6.7,7.4,10,0.0,96.8
7.4,8.1,20,0.0,96.9
8.1,9.0,0,0.0,96.9
9.0,9.8,15,0.0,96.9
9.8,10.8,15,0.0,96.9
10.8,11.9,1,0.0,96.9
11.9,13.1,29,0.1,97.0
13.1,14.4,14,0.0,97.0
14.4,15.9,8,0.0,97.0
15.9,17.4,21,0.0,97.1
17.4,19.2,13,0.0,97.1
19.2,21.1,12,0.0,97.1
21.1,23.2,17,0.0,97.2
23.2,25.5,20,0.0,97.2
25.5,28.1,24,0.0,97.2
28.1,30.9,14,0.0,97.3
30.9,34.0,40,0.1,97.3
34.0,37.4,41,0.1,97.4
37.4,41.1,38,0.1,97.5
41.1,45.3,35,0.1,97.6
45.3,49.8,27,0.1,97.6
49.8,54.8,30,0.1,97.7
54.8,60.2,63,0.1,97.8
60.2,66.3,44,0.1,97.9
66.3,72.9,45,0.1,98.0
72.9,80.2,70,0.1,98.1
80.2,88.2,53,0.1,98.2
88.2,97.0,53,0.1,98.3
97.0,106.7,46,0.1,98.4
106.7,117.4,60,0.1,98.6
117.4,129.1,44,0.1,98.6
129.1,142.0,55,0.1,98.8
142.0,156.2,69,0.1,98.9
156.2,171.9,56,0.1,99.0
171.9,189.1,52,0.1,99.1
189.1,208.0,51,0.1,99.2
208.0,228.8,54,0.1,99.3
228.8,251.6,54,0.1,99.4
251.6,276.8,43,0.1,99.5
276.8,304.5,41,0.1,99.6
304.5,334.9,32,0.1,99.7
334.9,368.4,35,0.1,99.7
368.4,405.3,27,0.1,99.8
405.3,445.8,27,0.1,99.8
445.8,490.4,30,0.1,99.9
490.4,539.4,16,0.0,99.9
539.4,593.3,7,0.0,99.9
593.3,652.7,13,0.0,100.0
652.7,718.0,3,0.0,100.0
718.0,789.7,4,0.0,100.0
789.7,868.7,5,0.0,100.0
868.7,955.6,4,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,1,0.0,100.0
1271.9,1399.1,1,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
