Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers100padding1k
RecordLimit:,50000
Workers:,100
PaddingSize:,1k
Workload:,select-update-uniform


select latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,23989,95.7,95.7
1.0,1.1,10,0.0,95.8
1.1,1.2,0,0.0,95.8
1.2,1.3,0,0.0,95.8
1.3,1.5,0,0.0,95.8
1.5,1.6,0,0.0,95.8
1.6,1.8,0,0.0,95.8
1.8,1.9,0,0.0,95.8
1.9,2.1,158,0.6,96.4
2.1,2.4,0,0.0,96.4
2.4,2.6,0,0.0,96.4
2.6,2.9,0,0.0,96.4
2.9,3.1,22,0.1,96.5
3.1,3.5,0,0.0,96.5
3.5,3.8,0,0.0,96.5
3.8,4.2,35,0.1,96.6
4.2,4.6,0,0.0,96.6
4.6,5.1,96,0.4,97.0
5.1,5.6,0,0.0,97.0
5.6,6.1,26,0.1,97.1
6.1,6.7,0,0.0,97.1
6.7,7.4,68,0.3,97.4
7.4,8.1,41,0.2,97.6
8.1,9.0,0,0.0,97.6
9.0,9.8,21,0.1,97.7
9.8,10.8,62,0.2,97.9
10.8,11.9,15,0.1,98.0
11.9,13.1,85,0.3,98.3
13.1,14.4,19,0.1,98.4
14.4,15.9,36,0.1,98.5
15.9,17.4,46,0.2,98.7
17.4,19.2,42,0.2,98.9
19.2,21.1,34,0.1,99.0
21.1,23.2,44,0.2,99.2
23.2,25.5,17,0.1,99.2
25.5,28.1,37,0.1,99.4
28.1,30.9,18,0.1,99.5
30.9,34.0,35,0.1,99.6
34.0,37.4,30,0.1,99.7
37.4,41.1,11,0.0,99.8
41.1,45.3,9,0.0,99.8
45.3,49.8,10,0.0,99.8
49.8,54.8,12,0.0,99.9
54.8,60.2,8,0.0,99.9
60.2,66.3,5,0.0,99.9
66.3,72.9,3,0.0,100.0
72.9,80.2,6,0.0,100.0
80.2,88.2,1,0.0,100.0
88.2,97.0,1,0.0,100.0
97.0,106.7,0,0.0,100.0
106.7,117.4,1,0.0,100.0
117.4,129.1,1,0.0,100.0
129.1,142.0,0,0.0,100.0
142.0,156.2,0,0.0,100.0
156.2,171.9,0,0.0,100.0
171.9,189.1,0,0.0,100.0
189.1,208.0,0,0.0,100.0
208.0,228.8,0,0.0,100.0
228.8,251.6,0,0.0,100.0
251.6,276.8,0,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,16081,64.2,64.2
1.0,1.1,87,0.3,64.6
1.1,1.2,0,0.0,64.6
1.2,1.3,0,0.0,64.6
1.3,1.5,0,0.0,64.6
1.5,1.6,0,0.0,64.6
1.6,1.8,0,0.0,64.6
1.8,1.9,0,0.0,64.6
1.9,2.1,1156,4.6,69.2
2.1,2.4,0,0.0,69.2
2.4,2.6,0,0.0,69.2
2.6,2.9,0,0.0,69.2
2.9,3.1,684,2.7,71.9
3.1,3.5,0,0.0,71.9
3.5,3.8,0,0.0,71.9
3.8,4.2,217,0.9,72.8
4.2,4.6,0,0.0,72.8
4.6,5.1,896,3.6,76.3
5.1,5.6,0,0.0,76.3
5.6,6.1,268,1.1,77.4
6.1,6.7,0,0.0,77.4
6.7,7.4,440,1.8,79.2
7.4,8.1,562,2.2,81.4
8.1,9.0,0,0.0,81.4
9.0,9.8,176,0.7,82.1
9.8,10.8,480,1.9,84.0
10.8,11.9,253,1.0,85.0
11.9,13.1,602,2.4,87.4
13.1,14.4,178,0.7,88.2
14.4,15.9,259,1.0,89.2
15.9,17.4,373,1.5,90.7
17.4,19.2,354,1.4,92.1
19.2,21.1,293,1.2,93.3
21.1,23.2,232,0.9,94.2
23.2,25.5,203,0.8,95.0
25.5,28.1,232,0.9,95.9
28.1,30.9,150,0.6,96.5
30.9,34.0,234,0.9,97.5
34.0,37.4,121,0.5,97.9
37.4,41.1,141,0.6,98.5
41.1,45.3,83,0.3,98.8
45.3,49.8,72,0.3,99.1
49.8,54.8,44,0.2,99.3
54.8,60.2,56,0.2,99.5
60.2,66.3,42,0.2,99.7
66.3,72.9,30,0.1,99.8
72.9,80.2,16,0.1,99.9
80.2,88.2,10,0.0,99.9
88.2,97.0,11,0.0,100.0
97.0,106.7,6,0.0,100.0
106.7,117.4,2,0.0,100.0
117.4,129.1,1,0.0,100.0
129.1,142.0,0,0.0,100.0
142.0,156.2,1,0.0,100.0
156.2,171.9,0,0.0,100.0
171.9,189.1,0,0.0,100.0
189.1,208.0,0,0.0,100.0
208.0,228.8,0,0.0,100.0
228.8,251.6,0,0.0,100.0
251.6,276.8,0,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
