Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers100padding1k
RecordLimit:,100000
Workers:,100
PaddingSize:,1k
Workload:,insert


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,88026,87.9,87.9
1.0,1.1,203,0.2,88.1
1.1,1.2,0,0.0,88.1
1.2,1.3,0,0.0,88.1
1.3,1.5,0,0.0,88.1
1.5,1.6,0,0.0,88.1
1.6,1.8,0,0.0,88.1
1.8,1.9,0,0.0,88.1
1.9,2.1,37,0.0,88.2
2.1,2.4,0,0.0,88.2
2.4,2.6,0,0.0,88.2
2.6,2.9,0,0.0,88.2
2.9,3.1,162,0.2,88.3
3.1,3.5,0,0.0,88.3
3.5,3.8,0,0.0,88.3
3.8,4.2,1020,1.0,89.4
4.2,4.6,0,0.0,89.4
4.6,5.1,149,0.1,89.5
5.1,5.6,0,0.0,89.5
5.6,6.1,20,0.0,89.5
6.1,6.7,0,0.0,89.5
6.7,7.4,163,0.2,89.7
7.4,8.1,632,0.6,90.3
8.1,9.0,0,0.0,90.3
9.0,9.8,295,0.3,90.6
9.8,10.8,61,0.1,90.7
10.8,11.9,156,0.2,90.8
11.9,13.1,886,0.9,91.7
13.1,14.4,110,0.1,91.8
14.4,15.9,173,0.2,92.0
15.9,17.4,601,0.6,92.6
17.4,19.2,348,0.3,92.9
19.2,21.1,471,0.5,93.4
21.1,23.2,292,0.3,93.7
23.2,25.5,409,0.4,94.1
25.5,28.1,502,0.5,94.6
28.1,30.9,316,0.3,94.9
30.9,34.0,575,0.6,95.5
34.0,37.4,382,0.4,95.9
37.4,41.1,504,0.5,96.4
41.1,45.3,379,0.4,96.8
45.3,49.8,327,0.3,97.1
49.8,54.8,364,0.4,97.5
54.8,60.2,420,0.4,97.9
60.2,66.3,335,0.3,98.2
66.3,72.9,269,0.3,98.5
72.9,80.2,303,0.3,98.8
80.2,88.2,235,0.2,99.0
88.2,97.0,221,0.2,99.2
97.0,106.7,157,0.2,99.4
106.7,117.4,167,0.2,99.6
117.4,129.1,137,0.1,99.7
129.1,142.0,102,0.1,99.8
142.0,156.2,61,0.1,99.9
156.2,171.9,54,0.1,99.9
171.9,189.1,33,0.0,100.0
189.1,208.0,11,0.0,100.0
208.0,228.8,20,0.0,100.0
228.8,251.6,5,0.0,100.0
251.6,276.8,2,0.0,100.0
276.8,304.5,3,0.0,100.0
304.5,334.9,2,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
