Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers100padding1mb
RecordLimit:,5000
Workers:,100
PaddingSize:,1mb
Workload:,update-zipfian


update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,12,0.2,0.2
1.0,1.1,144,2.8,3.1
1.1,1.2,0,0.0,3.1
1.2,1.3,0,0.0,3.1
1.3,1.5,0,0.0,3.1
1.5,1.6,0,0.0,3.1
1.6,1.8,0,0.0,3.1
1.8,1.9,0,0.0,3.1
1.9,2.1,103,2.0,5.1
2.1,2.4,0,0.0,5.1
2.4,2.6,0,0.0,5.1
2.6,2.9,0,0.0,5.1
2.9,3.1,72,1.4,6.5
3.1,3.5,0,0.0,6.5
3.5,3.8,0,0.0,6.5
3.8,4.2,66,1.3,7.8
4.2,4.6,0,0.0,7.8
4.6,5.1,68,1.3,9.1
5.1,5.6,0,0.0,9.1
5.6,6.1,53,1.0,10.2
6.1,6.7,0,0.0,10.2
6.7,7.4,56,1.1,11.3
7.4,8.1,55,1.1,12.3
8.1,9.0,0,0.0,12.3
9.0,9.8,69,1.4,13.7
9.8,10.8,87,1.7,15.4
10.8,11.9,154,3.0,18.4
11.9,13.1,304,6.0,24.4
13.1,14.4,205,4.0,28.4
14.4,15.9,248,4.9,33.3
15.9,17.4,404,7.9,41.2
17.4,19.2,570,11.2,52.4
19.2,21.1,577,11.3,63.7
21.1,23.2,345,6.8,70.4
23.2,25.5,316,6.2,76.6
25.5,28.1,269,5.3,81.9
28.1,30.9,120,2.4,84.3
30.9,34.0,169,3.3,87.6
34.0,37.4,100,2.0,89.5
37.4,41.1,75,1.5,91.0
41.1,45.3,64,1.3,92.3
45.3,49.8,55,1.1,93.3
49.8,54.8,46,0.9,94.2
54.8,60.2,49,1.0,95.2
60.2,66.3,30,0.6,95.8
66.3,72.9,25,0.5,96.3
72.9,80.2,42,0.8,97.1
80.2,88.2,21,0.4,97.5
88.2,97.0,16,0.3,97.8
97.0,106.7,12,0.2,98.1
106.7,117.4,17,0.3,98.4
117.4,129.1,14,0.3,98.7
129.1,142.0,9,0.2,98.8
142.0,156.2,5,0.1,98.9
156.2,171.9,11,0.2,99.2
171.9,189.1,12,0.2,99.4
189.1,208.0,5,0.1,99.5
208.0,228.8,12,0.2,99.7
228.8,251.6,5,0.1,99.8
251.6,276.8,3,0.1,99.9
276.8,304.5,5,0.1,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,1,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
