Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers100padding1mb
RecordLimit:,5000
Workers:,100
PaddingSize:,1mb
Workload:,update-uniform


update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,227,4.5,4.5
1.0,1.1,177,3.5,7.9
1.1,1.2,0,0.0,7.9
1.2,1.3,0,0.0,7.9
1.3,1.5,0,0.0,7.9
1.5,1.6,0,0.0,7.9
1.6,1.8,0,0.0,7.9
1.8,1.9,0,0.0,7.9
1.9,2.1,309,6.1,14.0
2.1,2.4,0,0.0,14.0
2.4,2.6,0,0.0,14.0
2.6,2.9,0,0.0,14.0
2.9,3.1,271,5.3,19.3
3.1,3.5,0,0.0,19.3
3.5,3.8,0,0.0,19.3
3.8,4.2,232,4.5,23.8
4.2,4.6,0,0.0,23.8
4.6,5.1,184,3.6,27.5
5.1,5.6,0,0.0,27.5
5.6,6.1,133,2.6,30.1
6.1,6.7,0,0.0,30.1
6.7,7.4,109,2.1,32.2
7.4,8.1,101,2.0,34.2
8.1,9.0,0,0.0,34.2
9.0,9.8,87,1.7,35.9
9.8,10.8,98,1.9,37.8
10.8,11.9,71,1.4,39.2
11.9,13.1,114,2.2,41.4
13.1,14.4,28,0.5,42.0
14.4,15.9,19,0.4,42.4
15.9,17.4,116,2.3,44.6
17.4,19.2,201,3.9,48.6
19.2,21.1,70,1.4,49.9
21.1,23.2,84,1.6,51.6
23.2,25.5,79,1.5,53.1
25.5,28.1,105,2.1,55.2
28.1,30.9,48,0.9,56.1
30.9,34.0,115,2.3,58.4
34.0,37.4,75,1.5,59.9
37.4,41.1,97,1.9,61.8
41.1,45.3,95,1.9,63.6
45.3,49.8,80,1.6,65.2
49.8,54.8,69,1.4,66.5
54.8,60.2,111,2.2,68.7
60.2,66.3,118,2.3,71.0
66.3,72.9,123,2.4,73.5
72.9,80.2,193,3.8,77.2
80.2,88.2,148,2.9,80.1
88.2,97.0,62,1.2,81.4
97.0,106.7,24,0.5,81.8
106.7,117.4,8,0.2,82.0
117.4,129.1,8,0.2,82.1
129.1,142.0,10,0.2,82.3
142.0,156.2,7,0.1,82.5
156.2,171.9,5,0.1,82.6
171.9,189.1,8,0.2,82.7
189.1,208.0,15,0.3,83.0
208.0,228.8,27,0.5,83.5
228.8,251.6,12,0.2,83.8
251.6,276.8,4,0.1,83.9
276.8,304.5,11,0.2,84.1
304.5,334.9,54,1.1,85.1
334.9,368.4,26,0.5,85.6
368.4,405.3,26,0.5,86.2
405.3,445.8,37,0.7,86.9
445.8,490.4,79,1.5,88.4
490.4,539.4,33,0.6,89.1
539.4,593.3,14,0.3,89.4
593.3,652.7,25,0.5,89.8
652.7,718.0,91,1.8,91.6
718.0,789.7,20,0.4,92.0
789.7,868.7,99,1.9,94.0
868.7,955.6,68,1.3,95.3
955.6,1051.2,95,1.9,97.2
1051.2,1156.3,26,0.5,97.7
1156.3,1271.9,16,0.3,98.0
1271.9,1399.1,44,0.9,98.8
1399.1,1539.0,0,0.0,98.8
1539.0,1692.9,58,1.1,100.0
1692.9,1862.2,1,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
