Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers100padding1mb
RecordLimit:,5000
Workers:,100
PaddingSize:,1mb
Workload:,select-update-uniform


select latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,127,5.0,5.0
1.0,1.1,151,5.9,10.9
1.1,1.2,0,0.0,10.9
1.2,1.3,0,0.0,10.9
1.3,1.5,0,0.0,10.9
1.5,1.6,0,0.0,10.9
1.6,1.8,0,0.0,10.9
1.8,1.9,0,0.0,10.9
1.9,2.1,80,3.1,14.0
2.1,2.4,0,0.0,14.0
2.4,2.6,0,0.0,14.0
2.6,2.9,0,0.0,14.0
2.9,3.1,124,4.8,18.8
3.1,3.5,0,0.0,18.8
3.5,3.8,0,0.0,18.8
3.8,4.2,87,3.4,22.2
4.2,4.6,0,0.0,22.2
4.6,5.1,51,2.0,24.2
5.1,5.6,0,0.0,24.2
5.6,6.1,45,1.8,26.0
6.1,6.7,0,0.0,26.0
6.7,7.4,19,0.7,26.7
7.4,8.1,21,0.8,27.5
8.1,9.0,0,0.0,27.5
9.0,9.8,37,1.4,29.0
9.8,10.8,25,1.0,30.0
10.8,11.9,28,1.1,31.1
11.9,13.1,81,3.2,34.2
13.1,14.4,41,1.6,35.8
14.4,15.9,39,1.5,37.3
15.9,17.4,60,2.3,39.7
17.4,19.2,59,2.3,42.0
19.2,21.1,33,1.3,43.3
21.1,23.2,54,2.1,45.4
23.2,25.5,67,2.6,48.0
25.5,28.1,45,1.8,49.8
28.1,30.9,23,0.9,50.7
30.9,34.0,66,2.6,53.2
34.0,37.4,28,1.1,54.3
37.4,41.1,39,1.5,55.9
41.1,45.3,33,1.3,57.1
45.3,49.8,40,1.6,58.7
49.8,54.8,48,1.9,60.6
54.8,60.2,69,2.7,63.3
60.2,66.3,81,3.2,66.4
66.3,72.9,106,4.1,70.6
72.9,80.2,102,4.0,74.6
80.2,88.2,114,4.5,79.0
88.2,97.0,146,5.7,84.7
97.0,106.7,89,3.5,88.2
106.7,117.4,54,2.1,90.3
117.4,129.1,30,1.2,91.5
129.1,142.0,46,1.8,93.3
142.0,156.2,44,1.7,95.0
156.2,171.9,28,1.1,96.1
171.9,189.1,26,1.0,97.1
189.1,208.0,7,0.3,97.4
208.0,228.8,7,0.3,97.7
228.8,251.6,13,0.5,98.2
251.6,276.8,2,0.1,98.2
276.8,304.5,12,0.5,98.7
304.5,334.9,11,0.4,99.1
334.9,368.4,12,0.5,99.6
368.4,405.3,1,0.0,99.6
405.3,445.8,0,0.0,99.6
445.8,490.4,2,0.1,99.7
490.4,539.4,0,0.0,99.7
539.4,593.3,0,0.0,99.7
593.3,652.7,4,0.2,99.9
652.7,718.0,0,0.0,99.9
718.0,789.7,0,0.0,99.9
789.7,868.7,2,0.1,100.0
868.7,955.6,1,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,167,6.6,6.6
1.0,1.1,81,3.2,9.8
1.1,1.2,0,0.0,9.8
1.2,1.3,0,0.0,9.8
1.3,1.5,0,0.0,9.8
1.5,1.6,0,0.0,9.8
1.6,1.8,0,0.0,9.8
1.8,1.9,0,0.0,9.8
1.9,2.1,74,2.9,12.7
2.1,2.4,0,0.0,12.7
2.4,2.6,0,0.0,12.7
2.6,2.9,0,0.0,12.7
2.9,3.1,89,3.5,16.2
3.1,3.5,0,0.0,16.2
3.5,3.8,0,0.0,16.2
3.8,4.2,57,2.2,18.4
4.2,4.6,0,0.0,18.4
4.6,5.1,34,1.3,19.8
5.1,5.6,0,0.0,19.8
5.6,6.1,22,0.9,20.6
6.1,6.7,0,0.0,20.6
6.7,7.4,15,0.6,21.2
7.4,8.1,21,0.8,22.0
8.1,9.0,0,0.0,22.0
9.0,9.8,21,0.8,22.9
9.8,10.8,25,1.0,23.9
10.8,11.9,27,1.1,24.9
11.9,13.1,62,2.4,27.4
13.1,14.4,23,0.9,28.3
14.4,15.9,35,1.4,29.6
15.9,17.4,52,2.0,31.7
17.4,19.2,22,0.9,32.6
19.2,21.1,18,0.7,33.3
21.1,23.2,27,1.1,34.3
23.2,25.5,18,0.7,35.0
25.5,28.1,24,0.9,36.0
28.1,30.9,7,0.3,36.3
30.9,34.0,18,0.7,37.0
34.0,37.4,12,0.5,37.4
37.4,41.1,31,1.2,38.7
41.1,45.3,31,1.2,39.9
45.3,49.8,41,1.6,41.5
49.8,54.8,48,1.9,43.4
54.8,60.2,115,4.5,47.9
60.2,66.3,102,4.0,51.9
66.3,72.9,134,5.3,57.2
72.9,80.2,112,4.4,61.6
80.2,88.2,93,3.7,65.3
88.2,97.0,144,5.7,70.9
97.0,106.7,59,2.3,73.3
106.7,117.4,14,0.6,73.8
117.4,129.1,17,0.7,74.5
129.1,142.0,19,0.7,75.2
142.0,156.2,27,1.1,76.3
156.2,171.9,27,1.1,77.4
171.9,189.1,18,0.7,78.1
189.1,208.0,22,0.9,78.9
208.0,228.8,16,0.6,79.6
228.8,251.6,29,1.1,80.7
251.6,276.8,43,1.7,82.4
276.8,304.5,57,2.2,84.6
304.5,334.9,56,2.2,86.9
334.9,368.4,69,2.7,89.6
368.4,405.3,39,1.5,91.1
405.3,445.8,25,1.0,92.1
445.8,490.4,7,0.3,92.4
