Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers100padding1mb
RecordLimit:,10000
Workers:,100
PaddingSize:,1mb
Workload:,insert


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,5,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,5,0.0,0.1
3.1,3.5,0,0.0,0.1
3.5,3.8,0,0.0,0.1
3.8,4.2,17,0.2,0.3
4.2,4.6,0,0.0,0.3
4.6,5.1,35,0.3,0.6
5.1,5.6,0,0.0,0.6
5.6,6.1,31,0.3,0.9
6.1,6.7,0,0.0,0.9
6.7,7.4,18,0.2,1.1
7.4,8.1,22,0.2,1.3
8.1,9.0,0,0.0,1.3
9.0,9.8,23,0.2,1.5
9.8,10.8,19,0.2,1.7
10.8,11.9,27,0.3,2.0
11.9,13.1,55,0.5,2.5
13.1,14.4,42,0.4,3.0
14.4,15.9,22,0.2,3.2
15.9,17.4,52,0.5,3.7
17.4,19.2,67,0.7,4.4
19.2,21.1,77,0.8,5.1
21.1,23.2,72,0.7,5.8
23.2,25.5,61,0.6,6.4
25.5,28.1,98,1.0,7.4
28.1,30.9,63,0.6,8.0
30.9,34.0,124,1.2,9.3
34.0,37.4,76,0.8,10.0
37.4,41.1,114,1.1,11.1
41.1,45.3,102,1.0,12.1
45.3,49.8,97,1.0,13.1
49.8,54.8,102,1.0,14.1
54.8,60.2,121,1.2,15.3
60.2,66.3,126,1.2,16.6
66.3,72.9,117,1.2,17.7
72.9,80.2,141,1.4,19.1
80.2,88.2,127,1.3,20.4
88.2,97.0,138,1.4,21.7
97.0,106.7,149,1.5,23.2
106.7,117.4,151,1.5,24.7
117.4,129.1,165,1.6,26.3
129.1,142.0,178,1.8,28.1
142.0,156.2,191,1.9,30.0
156.2,171.9,205,2.0,32.0
171.9,189.1,300,3.0,35.0
189.1,208.0,351,3.5,38.5
208.0,228.8,381,3.8,42.2
228.8,251.6,305,3.0,45.3
251.6,276.8,363,3.6,48.9
276.8,304.5,450,4.5,53.3
304.5,334.9,329,3.3,56.6
334.9,368.4,378,3.7,60.3
368.4,405.3,435,4.3,64.6
405.3,445.8,317,3.1,67.8
445.8,490.4,434,4.3,72.1
490.4,539.4,394,3.9,76.0
539.4,593.3,305,3.0,79.0
593.3,652.7,345,3.4,82.4
652.7,718.0,253,2.5,84.9
718.0,789.7,269,2.7,87.6
789.7,868.7,223,2.2,89.8
868.7,955.6,184,1.8,91.6
955.6,1051.2,142,1.4,93.0
1051.2,1156.3,79,0.8,93.8
1156.3,1271.9,65,0.6,94.4
1271.9,1399.1,107,1.1,95.5
1399.1,1539.0,109,1.1,96.6
1539.0,1692.9,39,0.4,97.0
1692.9,1862.2,82,0.8,97.8
1862.2,2048.4,40,0.4,98.2
2048.4,2253.2,21,0.2,98.4
2253.2,2478.6,7,0.1,98.4
2478.6,2726.4,14,0.1,98.6
2726.4,2999.1,1,0.0,98.6
2999.1,3299.0,6,0.1,98.6
3299.0,3628.9,43,0.4,99.1
3628.9,3991.8,61,0.6,99.7
3991.8,4390.9,11,0.1,99.8
4390.9,4830.0,10,0.1,99.9
4830.0,5313.0,0,0.0,99.9
5313.0,5844.3,7,0.1,100.0
5844.3,6428.8,3,0.0,100.0
6428.8,7071.6,1,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,1,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
