Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers100padding1mb
RecordLimit:,5000
Workers:,100
PaddingSize:,1mb
Workload:,insert-update


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,0,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,0,0.0,0.0
4.2,4.6,0,0.0,0.0
4.6,5.1,0,0.0,0.0
5.1,5.6,0,0.0,0.0
5.6,6.1,0,0.0,0.0
6.1,6.7,0,0.0,0.0
6.7,7.4,0,0.0,0.0
7.4,8.1,0,0.0,0.0
8.1,9.0,0,0.0,0.0
9.0,9.8,0,0.0,0.0
9.8,10.8,0,0.0,0.0
10.8,11.9,1,0.0,0.0
11.9,13.1,2,0.1,0.1
13.1,14.4,1,0.0,0.2
14.4,15.9,2,0.1,0.2
15.9,17.4,6,0.2,0.5
17.4,19.2,4,0.2,0.6
19.2,21.1,7,0.3,0.9
21.1,23.2,5,0.2,1.1
23.2,25.5,8,0.3,1.4
25.5,28.1,9,0.4,1.8
28.1,30.9,7,0.3,2.0
30.9,34.0,12,0.5,2.5
34.0,37.4,6,0.2,2.7
37.4,41.1,8,0.3,3.1
41.1,45.3,11,0.4,3.5
45.3,49.8,11,0.4,3.9
49.8,54.8,21,0.8,4.7
54.8,60.2,25,1.0,5.7
60.2,66.3,20,0.8,6.5
66.3,72.9,12,0.5,7.0
72.9,80.2,17,0.7,7.6
80.2,88.2,17,0.7,8.3
88.2,97.0,26,1.0,9.3
97.0,106.7,39,1.5,10.9
106.7,117.4,43,1.7,12.5
117.4,129.1,56,2.2,14.7
129.1,142.0,63,2.5,17.2
142.0,156.2,44,1.7,18.9
156.2,171.9,39,1.5,20.5
171.9,189.1,27,1.1,21.5
189.1,208.0,22,0.9,22.4
208.0,228.8,30,1.2,23.6
228.8,251.6,18,0.7,24.3
251.6,276.8,9,0.4,24.6
276.8,304.5,8,0.3,24.9
304.5,334.9,11,0.4,25.4
334.9,368.4,6,0.2,25.6
368.4,405.3,1,0.0,25.6
405.3,445.8,3,0.1,25.8
445.8,490.4,3,0.1,25.9
490.4,539.4,2,0.1,26.0
539.4,593.3,3,0.1,26.1
593.3,652.7,13,0.5,26.6
652.7,718.0,26,1.0,27.6
718.0,789.7,14,0.5,28.2
789.7,868.7,10,0.4,28.5
868.7,955.6,4,0.2,28.7
955.6,1051.2,7,0.3,29.0
1051.2,1156.3,10,0.4,29.4
1156.3,1271.9,20,0.8,30.2
1271.9,1399.1,66,2.6,32.7
1399.1,1539.0,104,4.1,36.8
1539.0,1692.9,85,3.3,40.2
1692.9,1862.2,129,5.1,45.2
1862.2,2048.4,125,4.9,50.1
2048.4,2253.2,138,5.4,55.5
2253.2,2478.6,70,2.7,58.3
2478.6,2726.4,30,1.2,59.5
2726.4,2999.1,40,1.6,61.0
2999.1,3299.0,93,3.6,64.7
3299.0,3628.9,125,4.9,69.6
3628.9,3991.8,106,4.2,73.7
3991.8,4390.9,74,2.9,76.6
4390.9,4830.0,50,2.0,78.6
4830.0,5313.0,104,4.1,82.7
5313.0,5844.3,90,3.5,86.2
5844.3,6428.8,52,2.0,88.2
6428.8,7071.6,66,2.6,90.8
7071.6,7778.8,59,2.3,93.1
7778.8,8556.7,42,1.6,94.8
8556.7,9412.3,53,2.1,96.9
9412.3,10353.6,29,1.1,98.0
10353.6,11388.9,30,1.2,99.2
11388.9,inf,21,0.8,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,0,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,0,0.0,0.0
4.2,4.6,0,0.0,0.0
4.6,5.1,1,0.0,0.0
5.1,5.6,0,0.0,0.0
5.6,6.1,4,0.2,0.2
6.1,6.7,0,0.0,0.2
6.7,7.4,3,0.1,0.3
7.4,8.1,1,0.0,0.4
8.1,9.0,0,0.0,0.4
9.0,9.8,1,0.0,0.4
9.8,10.8,3,0.1,0.5
10.8,11.9,1,0.0,0.6
11.9,13.1,4,0.2,0.7
13.1,14.4,3,0.1,0.8
14.4,15.9,3,0.1,1.0
15.9,17.4,9,0.4,1.3
17.4,19.2,8,0.3,1.6
19.2,21.1,12,0.5,2.1
21.1,23.2,9,0.4,2.5
23.2,25.5,9,0.4,2.8
25.5,28.1,17,0.7,3.5
28.1,30.9,8,0.3,3.8
30.9,34.0,15,0.6,4.4
34.0,37.4,17,0.7,5.1
37.4,41.1,38,1.5,6.6
41.1,45.3,33,1.3,8.0
45.3,49.8,52,2.1,10.0
49.8,54.8,61,2.4,12.5
54.8,60.2,68,2.7,15.2
60.2,66.3,48,1.9,17.1
66.3,72.9,62,2.5,19.6
72.9,80.2,70,2.8,22.4
80.2,88.2,91,3.6,26.0
88.2,97.0,117,4.7,30.7
97.0,106.7,162,6.5,37.2
106.7,117.4,219,8.8,45.9
117.4,129.1,199,8.0,53.9
129.1,142.0,186,7.4,61.3
142.0,156.2,174,7.0,68.3
156.2,171.9,166,6.6,74.9
171.9,189.1,178,7.1,82.0
189.1,208.0,129,5.2,87.2
208.0,228.8,137,5.5,92.6
228.8,251.6,64,2.6,95.2
251.6,276.8,23,0.9,96.1
276.8,304.5,17,0.7,96.8
304.5,334.9,9,0.4,97.2
334.9,368.4,9,0.4,97.5
368.4,405.3,5,0.2,97.7
405.3,445.8,9,0.4,98.1
445.8,490.4,6,0.2,98.3
490.4,539.4,9,0.4,98.7
539.4,593.3,8,0.3,99.0
593.3,652.7,2,0.1,99.1
652.7,718.0,1,0.0,99.1
718.0,789.7,0,0.0,99.1
789.7,868.7,0,0.0,99.1
868.7,955.6,0,0.0,99.1
955.6,1051.2,0,0.0,99.1
1051.2,1156.3,0,0.0,99.1
1156.3,1271.9,0,0.0,99.1
1271.9,1399.1,1,0.0,99.2
1399.1,1539.0,2,0.1,99.2
1539.0,1692.9,1,0.0,99.3
1692.9,1862.2,1,0.0,99.3
1862.2,2048.4,1,0.0,99.4
2048.4,2253.2,3,0.1,99.5
2253.2,2478.6,1,0.0,99.5
2478.6,2726.4,0,0.0,99.5
2726.4,2999.1,0,0.0,99.5
2999.1,3299.0,0,0.0,99.5
3299.0,3628.9,0,0.0,99.5
3628.9,3991.8,2,0.1,99.6
3991.8,4390.9,4,0.2,99.8
4390.9,4830.0,0,0.0,99.8
4830.0,5313.0,0,0.0,99.8
5313.0,5844.3,0,0.0,99.8
5844.3,6428.8,1,0.0,99.8
6428.8,7071.6,2,0.1,99.9
7071.6,7778.8,1,0.0,99.9
7778.8,8556.7,0,0.0,99.9
8556.7,9412.3,0,0.0,99.9
9412.3,10353.6,2,0.1,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
