Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers100padding1mb
RecordLimit:,5000
Workers:,100
PaddingSize:,1mb
Workload:,update-zipfian


update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,0,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,1,0.0,0.0
4.2,4.6,0,0.0,0.0
4.6,5.1,1,0.0,0.0
5.1,5.6,0,0.0,0.0
5.6,6.1,0,0.0,0.0
6.1,6.7,0,0.0,0.0
6.7,7.4,0,0.0,0.0
7.4,8.1,2,0.0,0.1
8.1,9.0,0,0.0,0.1
9.0,9.8,1,0.0,0.1
9.8,10.8,4,0.1,0.2
10.8,11.9,2,0.0,0.2
11.9,13.1,2,0.0,0.3
13.1,14.4,3,0.1,0.3
14.4,15.9,3,0.1,0.4
15.9,17.4,6,0.1,0.5
17.4,19.2,5,0.1,0.6
19.2,21.1,8,0.2,0.8
21.1,23.2,4,0.1,0.8
23.2,25.5,8,0.2,1.0
25.5,28.1,8,0.2,1.2
28.1,30.9,10,0.2,1.4
30.9,34.0,14,0.3,1.7
34.0,37.4,15,0.3,2.0
37.4,41.1,42,0.8,2.8
41.1,45.3,31,0.6,3.4
45.3,49.8,55,1.1,4.6
49.8,54.8,96,1.9,6.5
54.8,60.2,187,3.8,10.3
60.2,66.3,217,4.4,14.7
66.3,72.9,260,5.3,19.9
72.9,80.2,280,5.7,25.6
80.2,88.2,260,5.3,30.9
88.2,97.0,229,4.6,35.5
97.0,106.7,212,4.3,39.8
106.7,117.4,274,5.5,45.3
117.4,129.1,301,6.1,51.4
129.1,142.0,333,6.7,58.1
142.0,156.2,258,5.2,63.4
156.2,171.9,198,4.0,67.4
171.9,189.1,226,4.6,71.9
189.1,208.0,203,4.1,76.0
208.0,228.8,227,4.6,80.6
228.8,251.6,178,3.6,84.2
251.6,276.8,165,3.3,87.6
276.8,304.5,141,2.9,90.4
304.5,334.9,122,2.5,92.9
334.9,368.4,81,1.6,94.5
368.4,405.3,46,0.9,95.5
405.3,445.8,16,0.3,95.8
445.8,490.4,18,0.4,96.2
490.4,539.4,22,0.4,96.6
539.4,593.3,20,0.4,97.0
593.3,652.7,22,0.4,97.5
652.7,718.0,20,0.4,97.9
718.0,789.7,20,0.4,98.3
789.7,868.7,21,0.4,98.7
868.7,955.6,12,0.2,98.9
955.6,1051.2,5,0.1,99.0
1051.2,1156.3,7,0.1,99.2
1156.3,1271.9,3,0.1,99.2
1271.9,1399.1,0,0.0,99.2
1399.1,1539.0,1,0.0,99.3
1539.0,1692.9,1,0.0,99.3
1692.9,1862.2,1,0.0,99.3
1862.2,2048.4,3,0.1,99.4
2048.4,2253.2,2,0.0,99.4
2253.2,2478.6,1,0.0,99.4
2478.6,2726.4,3,0.1,99.5
2726.4,2999.1,0,0.0,99.5
2999.1,3299.0,0,0.0,99.5
3299.0,3628.9,3,0.1,99.5
3628.9,3991.8,0,0.0,99.5
3991.8,4390.9,0,0.0,99.5
4390.9,4830.0,1,0.0,99.6
4830.0,5313.0,2,0.0,99.6
5313.0,5844.3,2,0.0,99.6
5844.3,6428.8,2,0.0,99.7
6428.8,7071.6,0,0.0,99.7
7071.6,7778.8,1,0.0,99.7
7778.8,8556.7,1,0.0,99.7
8556.7,9412.3,2,0.0,99.8
9412.3,10353.6,2,0.0,99.8
10353.6,11388.9,7,0.1,99.9
11388.9,inf,3,0.1,100.0
