Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers100padding1mb
RecordLimit:,5000
Workers:,100
PaddingSize:,1mb
Workload:,select-update-zipfian


select latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,0,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,0,0.0,0.0
4.2,4.6,0,0.0,0.0
4.6,5.1,0,0.0,0.0
5.1,5.6,0,0.0,0.0
5.6,6.1,0,0.0,0.0
6.1,6.7,0,0.0,0.0
6.7,7.4,0,0.0,0.0
7.4,8.1,0,0.0,0.0
8.1,9.0,0,0.0,0.0
9.0,9.8,205,8.0,8.0
9.8,10.8,246,9.6,17.7
10.8,11.9,239,9.4,27.0
11.9,13.1,515,20.2,47.2
13.1,14.4,205,8.0,55.3
14.4,15.9,156,6.1,61.4
15.9,17.4,203,8.0,69.3
17.4,19.2,113,4.4,73.8
19.2,21.1,104,4.1,77.9
21.1,23.2,88,3.4,81.3
23.2,25.5,62,2.4,83.7
25.5,28.1,66,2.6,86.3
28.1,30.9,36,1.4,87.7
30.9,34.0,35,1.4,89.1
34.0,37.4,13,0.5,89.6
37.4,41.1,16,0.6,90.2
41.1,45.3,3,0.1,90.4
45.3,49.8,1,0.0,90.4
49.8,54.8,4,0.2,90.6
54.8,60.2,3,0.1,90.7
60.2,66.3,1,0.0,90.7
66.3,72.9,2,0.1,90.8
72.9,80.2,3,0.1,90.9
80.2,88.2,2,0.1,91.0
88.2,97.0,3,0.1,91.1
97.0,106.7,4,0.2,91.3
106.7,117.4,11,0.4,91.7
117.4,129.1,9,0.4,92.0
129.1,142.0,7,0.3,92.3
142.0,156.2,3,0.1,92.4
156.2,171.9,12,0.5,92.9
171.9,189.1,19,0.7,93.6
189.1,208.0,17,0.7,94.3
208.0,228.8,9,0.4,94.7
228.8,251.6,2,0.1,94.7
251.6,276.8,8,0.3,95.1
276.8,304.5,3,0.1,95.2
304.5,334.9,1,0.0,95.2
334.9,368.4,3,0.1,95.3
368.4,405.3,0,0.0,95.3
405.3,445.8,2,0.1,95.4
445.8,490.4,1,0.0,95.5
490.4,539.4,4,0.2,95.6
539.4,593.3,9,0.4,96.0
593.3,652.7,12,0.5,96.4
652.7,718.0,6,0.2,96.7
718.0,789.7,5,0.2,96.9
789.7,868.7,5,0.2,97.1
868.7,955.6,7,0.3,97.3
955.6,1051.2,2,0.1,97.4
1051.2,1156.3,1,0.0,97.5
1156.3,1271.9,5,0.2,97.6
1271.9,1399.1,5,0.2,97.8
1399.1,1539.0,4,0.2,98.0
1539.0,1692.9,5,0.2,98.2
1692.9,1862.2,5,0.2,98.4
1862.2,2048.4,4,0.2,98.5
2048.4,2253.2,4,0.2,98.7
2253.2,2478.6,4,0.2,98.9
2478.6,2726.4,2,0.1,98.9
2726.4,2999.1,3,0.1,99.1
2999.1,3299.0,1,0.0,99.1
3299.0,3628.9,4,0.2,99.3
3628.9,3991.8,2,0.1,99.3
3991.8,4390.9,3,0.1,99.5
4390.9,4830.0,1,0.0,99.5
4830.0,5313.0,2,0.1,99.6
5313.0,5844.3,2,0.1,99.6
5844.3,6428.8,1,0.0,99.7
6428.8,7071.6,3,0.1,99.8
7071.6,7778.8,1,0.0,99.8
7778.8,8556.7,0,0.0,99.8
8556.7,9412.3,1,0.0,99.9
9412.3,10353.6,0,0.0,99.9
10353.6,11388.9,2,0.1,100.0
11388.9,inf,1,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,1,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,2,0.1,0.1
4.2,4.6,0,0.0,0.1
4.6,5.1,6,0.2,0.4
5.1,5.6,0,0.0,0.4
5.6,6.1,14,0.6,0.9
6.1,6.7,0,0.0,0.9
6.7,7.4,6,0.2,1.1
7.4,8.1,4,0.2,1.3
8.1,9.0,0,0.0,1.3
9.0,9.8,10,0.4,1.7
9.8,10.8,10,0.4,2.1
10.8,11.9,6,0.2,2.3
11.9,13.1,25,1.0,3.3
13.1,14.4,11,0.4,3.8
14.4,15.9,9,0.4,4.1
15.9,17.4,21,0.8,4.9
17.4,19.2,26,1.0,6.0
19.2,21.1,11,0.4,6.4
21.1,23.2,10,0.4,6.8
23.2,25.5,15,0.6,7.4
25.5,28.1,19,0.8,8.1
28.1,30.9,13,0.5,8.7
30.9,34.0,20,0.8,9.4
34.0,37.4,18,0.7,10.2
37.4,41.1,20,0.8,10.9
41.1,45.3,23,0.9,11.9
45.3,49.8,35,1.4,13.2
49.8,54.8,26,1.0,14.3
54.8,60.2,53,2.1,16.4
60.2,66.3,48,1.9,18.3
66.3,72.9,67,2.6,20.9
72.9,80.2,61,2.4,23.3
80.2,88.2,87,3.4,26.8
88.2,97.0,96,3.8,30.6
97.0,106.7,79,3.1,33.7
106.7,117.4,81,3.2,36.9
117.4,129.1,70,2.8,39.6
129.1,142.0,64,2.5,42.2
142.0,156.2,48,1.9,44.1
156.2,171.9,33,1.3,45.4
171.9,189.1,21,0.8,46.2
189.1,208.0,33,1.3,47.5
208.0,228.8,27,1.1,48.6
228.8,251.6,28,1.1,49.7
251.6,276.8,31,1.2,50.9
276.8,304.5,23,0.9,51.8
304.5,334.9,5,0.2,52.0
334.9,368.4,3,0.1,52.1
368.4,405.3,2,0.1,52.2
405.3,445.8,2,0.1,52.3
445.8,490.4,10,0.4,52.7
490.4,539.4,15,0.6,53.3
539.4,593.3,12,0.5,53.8
593.3,652.7,14,0.6,54.3
652.7,718.0,29,1.1,55.5
718.0,789.7,56,2.2,57.7
789.7,868.7,52,2.1,59.7
868.7,955.6,35,1.4,61.1
955.6,1051.2,31,1.2,62.3
1051.2,1156.3,47,1.9,64.2
1156.3,1271.9,32,1.3,65.5
1271.9,1399.1,32,1.3,66.7
1399.1,1539.0,48,1.9,68.6
1539.0,1692.9,52,2.1,70.7
1692.9,1862.2,37,1.5,72.1
1862.2,2048.4,59,2.3,74.5
2048.4,2253.2,56,2.2,76.7
2253.2,2478.6,45,1.8,78.5
2478.6,2726.4,53,2.1,80.6
2726.4,2999.1,59,2.3,82.9
2999.1,3299.0,38,1.5,84.4
3299.0,3628.9,55,2.2,86.6
3628.9,3991.8,37,1.5,88.0
3991.8,4390.9,57,2.3,90.3
4390.9,4830.0,43,1.7,92.0
4830.0,5313.0,29,1.1,93.1
5313.0,5844.3,32,1.3,94.4
5844.3,6428.8,24,0.9,95.3
6428.8,7071.6,36,1.4,96.8
7071.6,7778.8,13,0.5,97.3
7778.8,8556.7,18,0.7,98.0
8556.7,9412.3,22,0.9,98.9
9412.3,10353.6,13,0.5,99.4
10353.6,11388.9,8,0.3,99.7
11388.9,inf,8,0.3,100.0
