Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers100
RecordLimit:,250000
Workers:,100
PaddingSize:,
Workload:,update-zipfian


update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,140361,56.1,56.1
1.0,1.1,30771,12.3,68.4
1.1,1.2,0,0.0,68.4
1.2,1.3,0,0.0,68.4
1.3,1.5,0,0.0,68.4
1.5,1.6,0,0.0,68.4
1.6,1.8,0,0.0,68.4
1.8,1.9,0,0.0,68.4
1.9,2.1,33667,13.5,81.9
2.1,2.4,0,0.0,81.9
2.4,2.6,0,0.0,81.9
2.6,2.9,0,0.0,81.9
2.9,3.1,20313,8.1,90.0
3.1,3.5,0,0.0,90.0
3.5,3.8,0,0.0,90.0
3.8,4.2,13812,5.5,95.5
4.2,4.6,0,0.0,95.5
4.6,5.1,3216,1.3,96.8
5.1,5.6,0,0.0,96.8
5.6,6.1,1846,0.7,97.6
6.1,6.7,0,0.0,97.6
6.7,7.4,924,0.4,97.9
7.4,8.1,623,0.2,98.2
8.1,9.0,0,0.0,98.2
9.0,9.8,480,0.2,98.4
9.8,10.8,343,0.1,98.5
10.8,11.9,282,0.1,98.6
11.9,13.1,400,0.2,98.8
13.1,14.4,174,0.1,98.8
14.4,15.9,127,0.1,98.9
15.9,17.4,226,0.1,99.0
17.4,19.2,143,0.1,99.0
19.2,21.1,122,0.0,99.1
21.1,23.2,93,0.0,99.1
23.2,25.5,90,0.0,99.2
25.5,28.1,94,0.0,99.2
28.1,30.9,91,0.0,99.2
30.9,34.0,173,0.1,99.3
34.0,37.4,77,0.0,99.3
37.4,41.1,113,0.0,99.4
41.1,45.3,81,0.0,99.4
45.3,49.8,31,0.0,99.4
49.8,54.8,53,0.0,99.5
54.8,60.2,56,0.0,99.5
60.2,66.3,46,0.0,99.5
66.3,72.9,25,0.0,99.5
72.9,80.2,38,0.0,99.5
80.2,88.2,65,0.0,99.5
88.2,97.0,52,0.0,99.6
97.0,106.7,59,0.0,99.6
106.7,117.4,67,0.0,99.6
117.4,129.1,54,0.0,99.6
129.1,142.0,148,0.1,99.7
142.0,156.2,82,0.0,99.7
156.2,171.9,82,0.0,99.8
171.9,189.1,38,0.0,99.8
189.1,208.0,127,0.1,99.8
208.0,228.8,57,0.0,99.8
228.8,251.6,35,0.0,99.9
251.6,276.8,136,0.1,99.9
276.8,304.5,52,0.0,99.9
304.5,334.9,21,0.0,99.9
334.9,368.4,12,0.0,100.0
368.4,405.3,66,0.0,100.0
405.3,445.8,16,0.0,100.0
445.8,490.4,11,0.0,100.0
490.4,539.4,27,0.0,100.0
539.4,593.3,2,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
