Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers100
RecordLimit:,250000
Workers:,100
PaddingSize:,
Workload:,update-uniform


update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,118822,47.5,47.5
1.0,1.1,19133,7.7,55.2
1.1,1.2,0,0.0,55.2
1.2,1.3,0,0.0,55.2
1.3,1.5,0,0.0,55.2
1.5,1.6,0,0.0,55.2
1.6,1.8,0,0.0,55.2
1.8,1.9,0,0.0,55.2
1.9,2.1,35189,14.1,69.2
2.1,2.4,0,0.0,69.2
2.4,2.6,0,0.0,69.2
2.6,2.9,0,0.0,69.2
2.9,3.1,15327,6.1,75.4
3.1,3.5,0,0.0,75.4
3.5,3.8,0,0.0,75.4
3.8,4.2,18138,7.3,82.6
4.2,4.6,0,0.0,82.6
4.6,5.1,25733,10.3,92.9
5.1,5.6,0,0.0,92.9
5.6,6.1,8243,3.3,96.2
6.1,6.7,0,0.0,96.2
6.7,7.4,2589,1.0,97.2
7.4,8.1,1299,0.5,97.8
8.1,9.0,0,0.0,97.8
9.0,9.8,859,0.3,98.1
9.8,10.8,486,0.2,98.3
10.8,11.9,396,0.2,98.4
11.9,13.1,569,0.2,98.7
13.1,14.4,204,0.1,98.8
14.4,15.9,183,0.1,98.8
15.9,17.4,279,0.1,98.9
17.4,19.2,173,0.1,99.0
19.2,21.1,136,0.1,99.1
21.1,23.2,110,0.0,99.1
23.2,25.5,95,0.0,99.1
25.5,28.1,132,0.1,99.2
28.1,30.9,81,0.0,99.2
30.9,34.0,112,0.0,99.3
34.0,37.4,77,0.0,99.3
37.4,41.1,85,0.0,99.3
41.1,45.3,100,0.0,99.4
45.3,49.8,47,0.0,99.4
49.8,54.8,69,0.0,99.4
54.8,60.2,105,0.0,99.5
60.2,66.3,67,0.0,99.5
66.3,72.9,24,0.0,99.5
72.9,80.2,22,0.0,99.5
80.2,88.2,47,0.0,99.5
88.2,97.0,145,0.1,99.6
97.0,106.7,39,0.0,99.6
106.7,117.4,72,0.0,99.6
117.4,129.1,68,0.0,99.7
129.1,142.0,145,0.1,99.7
142.0,156.2,87,0.0,99.8
156.2,171.9,37,0.0,99.8
171.9,189.1,26,0.0,99.8
189.1,208.0,16,0.0,99.8
208.0,228.8,36,0.0,99.8
228.8,251.6,105,0.0,99.8
251.6,276.8,112,0.0,99.9
276.8,304.5,26,0.0,99.9
304.5,334.9,17,0.0,99.9
334.9,368.4,37,0.0,99.9
368.4,405.3,119,0.0,100.0
405.3,445.8,27,0.0,100.0
445.8,490.4,9,0.0,100.0
490.4,539.4,27,0.0,100.0
539.4,593.3,4,0.0,100.0
593.3,652.7,9,0.0,100.0
652.7,718.0,2,0.0,100.0
718.0,789.7,2,0.0,100.0
789.7,868.7,2,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
