Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers100
RecordLimit:,250000
Workers:,100
PaddingSize:,
Workload:,select-update-zipfian


select latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,42880,34.3,34.3
1.0,1.1,10214,8.2,42.4
1.1,1.2,0,0.0,42.4
1.2,1.3,0,0.0,42.4
1.3,1.5,0,0.0,42.4
1.5,1.6,0,0.0,42.4
1.6,1.8,0,0.0,42.4
1.8,1.9,0,0.0,42.4
1.9,2.1,31158,24.9,67.4
2.1,2.4,0,0.0,67.4
2.4,2.6,0,0.0,67.4
2.6,2.9,0,0.0,67.4
2.9,3.1,16228,13.0,80.3
3.1,3.5,0,0.0,80.3
3.5,3.8,0,0.0,80.3
3.8,4.2,14363,11.5,91.8
4.2,4.6,0,0.0,91.8
4.6,5.1,6966,5.6,97.4
5.1,5.6,0,0.0,97.4
5.6,6.1,2157,1.7,99.1
6.1,6.7,0,0.0,99.1
6.7,7.4,381,0.3,99.4
7.4,8.1,119,0.1,99.5
8.1,9.0,0,0.0,99.5
9.0,9.8,71,0.1,99.6
9.8,10.8,57,0.0,99.6
10.8,11.9,36,0.0,99.6
11.9,13.1,49,0.0,99.7
13.1,14.4,14,0.0,99.7
14.4,15.9,9,0.0,99.7
15.9,17.4,15,0.0,99.7
17.4,19.2,9,0.0,99.7
19.2,21.1,14,0.0,99.7
21.1,23.2,11,0.0,99.7
23.2,25.5,10,0.0,99.7
25.5,28.1,10,0.0,99.8
28.1,30.9,6,0.0,99.8
30.9,34.0,6,0.0,99.8
34.0,37.4,1,0.0,99.8
37.4,41.1,10,0.0,99.8
41.1,45.3,31,0.0,99.8
45.3,49.8,16,0.0,99.8
49.8,54.8,8,0.0,99.8
54.8,60.2,17,0.0,99.8
60.2,66.3,65,0.1,99.9
66.3,72.9,32,0.0,99.9
72.9,80.2,37,0.0,99.9
80.2,88.2,16,0.0,100.0
88.2,97.0,2,0.0,100.0
97.0,106.7,14,0.0,100.0
106.7,117.4,6,0.0,100.0
117.4,129.1,5,0.0,100.0
129.1,142.0,1,0.0,100.0
142.0,156.2,1,0.0,100.0
156.2,171.9,1,0.0,100.0
171.9,189.1,4,0.0,100.0
189.1,208.0,15,0.0,100.0
208.0,228.8,1,0.0,100.0
228.8,251.6,6,0.0,100.0
251.6,276.8,5,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,1,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,41613,33.3,33.3
1.0,1.1,10434,8.3,41.6
1.1,1.2,0,0.0,41.6
1.2,1.3,0,0.0,41.6
1.3,1.5,0,0.0,41.6
1.5,1.6,0,0.0,41.6
1.6,1.8,0,0.0,41.6
1.8,1.9,0,0.0,41.6
1.9,2.1,30911,24.7,66.4
2.1,2.4,0,0.0,66.4
2.4,2.6,0,0.0,66.4
2.6,2.9,0,0.0,66.4
2.9,3.1,16365,13.1,79.4
3.1,3.5,0,0.0,79.4
3.5,3.8,0,0.0,79.4
3.8,4.2,14507,11.6,91.0
4.2,4.6,0,0.0,91.0
4.6,5.1,7246,5.8,96.8
5.1,5.6,0,0.0,96.8
5.6,6.1,2359,1.9,98.7
6.1,6.7,0,0.0,98.7
6.7,7.4,446,0.4,99.1
7.4,8.1,177,0.1,99.2
8.1,9.0,0,0.0,99.2
9.0,9.8,103,0.1,99.3
9.8,10.8,73,0.1,99.4
10.8,11.9,48,0.0,99.4
11.9,13.1,65,0.1,99.5
13.1,14.4,15,0.0,99.5
14.4,15.9,21,0.0,99.5
15.9,17.4,28,0.0,99.5
17.4,19.2,48,0.0,99.5
19.2,21.1,37,0.0,99.6
21.1,23.2,42,0.0,99.6
23.2,25.5,20,0.0,99.6
25.5,28.1,24,0.0,99.6
28.1,30.9,13,0.0,99.7
30.9,34.0,16,0.0,99.7
34.0,37.4,8,0.0,99.7
37.4,41.1,8,0.0,99.7
41.1,45.3,47,0.0,99.7
45.3,49.8,12,0.0,99.7
49.8,54.8,20,0.0,99.7
54.8,60.2,31,0.0,99.8
60.2,66.3,60,0.0,99.8
66.3,72.9,32,0.0,99.8
72.9,80.2,40,0.0,99.9
80.2,88.2,23,0.0,99.9
88.2,97.0,6,0.0,99.9
97.0,106.7,28,0.0,99.9
106.7,117.4,12,0.0,99.9
117.4,129.1,11,0.0,99.9
129.1,142.0,5,0.0,99.9
142.0,156.2,6,0.0,100.0
156.2,171.9,5,0.0,100.0
171.9,189.1,17,0.0,100.0
189.1,208.0,23,0.0,100.0
208.0,228.8,2,0.0,100.0
228.8,251.6,7,0.0,100.0
251.6,276.8,5,0.0,100.0
276.8,304.5,1,0.0,100.0
304.5,334.9,2,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
