Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers100
RecordLimit:,250000
Workers:,100
PaddingSize:,
Workload:,update-zipfian


update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,243089,97.2,97.2
1.0,1.1,237,0.1,97.3
1.1,1.2,0,0.0,97.3
1.2,1.3,0,0.0,97.3
1.3,1.5,0,0.0,97.3
1.5,1.6,0,0.0,97.3
1.6,1.8,0,0.0,97.3
1.8,1.9,0,0.0,97.3
1.9,2.1,105,0.0,97.3
2.1,2.4,0,0.0,97.3
2.4,2.6,0,0.0,97.3
2.6,2.9,0,0.0,97.3
2.9,3.1,179,0.1,97.4
3.1,3.5,0,0.0,97.4
3.5,3.8,0,0.0,97.4
3.8,4.2,37,0.0,97.4
4.2,4.6,0,0.0,97.4
4.6,5.1,82,0.0,97.5
5.1,5.6,0,0.0,97.5
5.6,6.1,97,0.0,97.5
6.1,6.7,0,0.0,97.5
6.7,7.4,33,0.0,97.5
7.4,8.1,28,0.0,97.5
8.1,9.0,0,0.0,97.5
9.0,9.8,74,0.0,97.5
9.8,10.8,56,0.0,97.6
10.8,11.9,33,0.0,97.6
11.9,13.1,127,0.1,97.6
13.1,14.4,34,0.0,97.6
14.4,15.9,38,0.0,97.7
15.9,17.4,103,0.0,97.7
17.4,19.2,96,0.0,97.7
19.2,21.1,109,0.0,97.8
21.1,23.2,88,0.0,97.8
23.2,25.5,79,0.0,97.9
25.5,28.1,141,0.1,97.9
28.1,30.9,92,0.0,97.9
30.9,34.0,168,0.1,98.0
34.0,37.4,114,0.0,98.1
37.4,41.1,148,0.1,98.1
41.1,45.3,161,0.1,98.2
45.3,49.8,157,0.1,98.2
49.8,54.8,187,0.1,98.3
54.8,60.2,233,0.1,98.4
60.2,66.3,188,0.1,98.5
66.3,72.9,191,0.1,98.6
72.9,80.2,244,0.1,98.7
80.2,88.2,224,0.1,98.7
88.2,97.0,202,0.1,98.8
97.0,106.7,190,0.1,98.9
106.7,117.4,244,0.1,99.0
117.4,129.1,236,0.1,99.1
129.1,142.0,221,0.1,99.2
142.0,156.2,235,0.1,99.3
156.2,171.9,205,0.1,99.4
171.9,189.1,228,0.1,99.5
189.1,208.0,192,0.1,99.5
208.0,228.8,184,0.1,99.6
228.8,251.6,174,0.1,99.7
251.6,276.8,135,0.1,99.7
276.8,304.5,162,0.1,99.8
304.5,334.9,111,0.0,99.8
334.9,368.4,108,0.0,99.9
368.4,405.3,82,0.0,99.9
405.3,445.8,65,0.0,99.9
445.8,490.4,50,0.0,100.0
490.4,539.4,43,0.0,100.0
539.4,593.3,18,0.0,100.0
593.3,652.7,21,0.0,100.0
652.7,718.0,9,0.0,100.0
718.0,789.7,6,0.0,100.0
789.7,868.7,5,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,2,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
