Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers100
RecordLimit:,1000000
Workers:,100
PaddingSize:,
Workload:,insert


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,907108,90.7,90.7
1.0,1.1,1033,0.1,90.8
1.1,1.2,0,0.0,90.8
1.2,1.3,0,0.0,90.8
1.3,1.5,0,0.0,90.8
1.5,1.6,0,0.0,90.8
1.6,1.8,0,0.0,90.8
1.8,1.9,0,0.0,90.8
1.9,2.1,1007,0.1,90.9
2.1,2.4,0,0.0,90.9
2.4,2.6,0,0.0,90.9
2.6,2.9,0,0.0,90.9
2.9,3.1,7418,0.7,91.6
3.1,3.5,0,0.0,91.6
3.5,3.8,0,0.0,91.6
3.8,4.2,466,0.0,91.7
4.2,4.6,0,0.0,91.7
4.6,5.1,1438,0.1,91.8
5.1,5.6,0,0.0,91.8
5.6,6.1,4594,0.5,92.3
6.1,6.7,0,0.0,92.3
6.7,7.4,1588,0.2,92.5
7.4,8.1,1476,0.1,92.6
8.1,9.0,0,0.0,92.6
9.0,9.8,2785,0.3,92.9
9.8,10.8,2474,0.2,93.1
10.8,11.9,1587,0.2,93.3
11.9,13.1,4296,0.4,93.7
13.1,14.4,1743,0.2,93.9
14.4,15.9,1118,0.1,94.0
15.9,17.4,4128,0.4,94.4
17.4,19.2,2946,0.3,94.7
19.2,21.1,2662,0.3,95.0
21.1,23.2,3359,0.3,95.3
23.2,25.5,2477,0.2,95.6
25.5,28.1,3764,0.4,95.9
28.1,30.9,2430,0.2,96.2
30.9,34.0,4291,0.4,96.6
34.0,37.4,2772,0.3,96.9
37.4,41.1,3330,0.3,97.2
41.1,45.3,3003,0.3,97.5
45.3,49.8,2693,0.3,97.8
49.8,54.8,2964,0.3,98.1
54.8,60.2,2923,0.3,98.4
60.2,66.3,2539,0.3,98.6
66.3,72.9,2161,0.2,98.8
72.9,80.2,2362,0.2,99.1
80.2,88.2,1858,0.2,99.3
88.2,97.0,1692,0.2,99.4
97.0,106.7,1272,0.1,99.6
106.7,117.4,1108,0.1,99.7
117.4,129.1,953,0.1,99.8
129.1,142.0,713,0.1,99.8
142.0,156.2,501,0.1,99.9
156.2,171.9,348,0.0,99.9
171.9,189.1,280,0.0,100.0
189.1,208.0,163,0.0,100.0
208.0,228.8,118,0.0,100.0
228.8,251.6,74,0.0,100.0
251.6,276.8,38,0.0,100.0
276.8,304.5,26,0.0,100.0
304.5,334.9,7,0.0,100.0
334.9,368.4,6,0.0,100.0
368.4,405.3,5,0.0,100.0
405.3,445.8,3,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
