Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers30padding1mb
RecordLimit:,5000
Workers:,30
PaddingSize:,1mb
Workload:,insert-update


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,1,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,25,1.0,1.0
3.1,3.5,0,0.0,1.0
3.5,3.8,0,0.0,1.0
3.8,4.2,28,1.1,2.1
4.2,4.6,0,0.0,2.1
4.6,5.1,54,2.1,4.3
5.1,5.6,0,0.0,4.3
5.6,6.1,53,2.1,6.4
6.1,6.7,0,0.0,6.4
6.7,7.4,48,1.9,8.3
7.4,8.1,57,2.3,10.5
8.1,9.0,0,0.0,10.5
9.0,9.8,78,3.1,13.6
9.8,10.8,65,2.6,16.2
10.8,11.9,68,2.7,18.9
11.9,13.1,151,6.0,24.9
13.1,14.4,65,2.6,27.5
14.4,15.9,56,2.2,29.7
15.9,17.4,116,4.6,34.3
17.4,19.2,92,3.6,37.9
19.2,21.1,82,3.3,41.2
21.1,23.2,85,3.4,44.6
23.2,25.5,71,2.8,47.4
25.5,28.1,98,3.9,51.2
28.1,30.9,48,1.9,53.2
30.9,34.0,91,3.6,56.8
34.0,37.4,71,2.8,59.6
37.4,41.1,88,3.5,63.1
41.1,45.3,82,3.3,66.3
45.3,49.8,59,2.3,68.6
49.8,54.8,58,2.3,70.9
54.8,60.2,75,3.0,73.9
60.2,66.3,64,2.5,76.5
66.3,72.9,51,2.0,78.5
72.9,80.2,43,1.7,80.2
80.2,88.2,29,1.1,81.3
88.2,97.0,20,0.8,82.1
97.0,106.7,39,1.5,83.7
106.7,117.4,37,1.5,85.1
117.4,129.1,23,0.9,86.0
129.1,142.0,13,0.5,86.6
142.0,156.2,27,1.1,87.6
156.2,171.9,9,0.4,88.0
171.9,189.1,5,0.2,88.2
189.1,208.0,13,0.5,88.7
208.0,228.8,36,1.4,90.1
228.8,251.6,32,1.3,91.4
251.6,276.8,16,0.6,92.0
276.8,304.5,43,1.7,93.7
304.5,334.9,23,0.9,94.6
334.9,368.4,20,0.8,95.4
368.4,405.3,14,0.6,96.0
405.3,445.8,9,0.4,96.4
445.8,490.4,5,0.2,96.6
490.4,539.4,7,0.3,96.8
539.4,593.3,1,0.0,96.9
593.3,652.7,5,0.2,97.1
652.7,718.0,5,0.2,97.3
718.0,789.7,16,0.6,97.9
789.7,868.7,6,0.2,98.1
868.7,955.6,20,0.8,98.9
955.6,1051.2,6,0.2,99.2
1051.2,1156.3,17,0.7,99.8
1156.3,1271.9,3,0.1,100.0
1271.9,1399.1,1,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,126,5.0,5.0
1.0,1.1,271,10.8,15.8
1.1,1.2,0,0.0,15.8
1.2,1.3,0,0.0,15.8
1.3,1.5,0,0.0,15.8
1.5,1.6,0,0.0,15.8
1.6,1.8,0,0.0,15.8
1.8,1.9,0,0.0,15.8
1.9,2.1,193,7.7,23.5
2.1,2.4,0,0.0,23.5
2.4,2.6,0,0.0,23.5
2.6,2.9,0,0.0,23.5
2.9,3.1,179,7.1,30.7
3.1,3.5,0,0.0,30.7
3.5,3.8,0,0.0,30.7
3.8,4.2,155,6.2,36.9
4.2,4.6,0,0.0,36.9
4.6,5.1,147,5.9,42.7
5.1,5.6,0,0.0,42.7
5.6,6.1,122,4.9,47.6
6.1,6.7,0,0.0,47.6
6.7,7.4,126,5.0,52.6
7.4,8.1,105,4.2,56.8
8.1,9.0,0,0.0,56.8
9.0,9.8,85,3.4,60.2
9.8,10.8,70,2.8,63.0
10.8,11.9,70,2.8,65.8
11.9,13.1,110,4.4,70.2
13.1,14.4,68,2.7,72.9
14.4,15.9,46,1.8,74.7
15.9,17.4,80,3.2,77.9
17.4,19.2,56,2.2,80.1
19.2,21.1,63,2.5,82.6
21.1,23.2,50,2.0,84.6
23.2,25.5,34,1.4,86.0
25.5,28.1,39,1.6,87.6
28.1,30.9,9,0.4,87.9
30.9,34.0,30,1.2,89.1
34.0,37.4,11,0.4,89.5
37.4,41.1,12,0.5,90.0
41.1,45.3,13,0.5,90.5
45.3,49.8,6,0.2,90.8
49.8,54.8,6,0.2,91.0
54.8,60.2,7,0.3,91.3
60.2,66.3,6,0.2,91.5
66.3,72.9,1,0.0,91.6
72.9,80.2,7,0.3,91.9
80.2,88.2,10,0.4,92.3
88.2,97.0,22,0.9,93.1
97.0,106.7,17,0.7,93.8
106.7,117.4,10,0.4,94.2
117.4,129.1,9,0.4,94.6
129.1,142.0,7,0.3,94.9
142.0,156.2,12,0.5,95.3
156.2,171.9,4,0.2,95.5
171.9,189.1,7,0.3,95.8
189.1,208.0,6,0.2,96.0
208.0,228.8,7,0.3,96.3
228.8,251.6,18,0.7,97.0
251.6,276.8,8,0.3,97.3
276.8,304.5,5,0.2,97.5
304.5,334.9,1,0.0,97.6
334.9,368.4,2,0.1,97.6
368.4,405.3,7,0.3,97.9
405.3,445.8,6,0.2,98.2
445.8,490.4,6,0.2,98.4
490.4,539.4,12,0.5,98.9
539.4,593.3,7,0.3,99.2
593.3,652.7,0,0.0,99.2
652.7,718.0,3,0.1,99.3
718.0,789.7,2,0.1,99.4
789.7,868.7,3,0.1,99.5
868.7,955.6,5,0.2,99.7
955.6,1051.2,1,0.0,99.7
1051.2,1156.3,3,0.1,99.8
1156.3,1271.9,4,0.2,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
