Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers30padding1mb
RecordLimit:,5000
Workers:,30
PaddingSize:,1mb
Workload:,select-update-zipfian


select latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,18,0.7,0.7
1.0,1.1,208,8.2,9.0
1.1,1.2,0,0.0,9.0
1.2,1.3,0,0.0,9.0
1.3,1.5,0,0.0,9.0
1.5,1.6,0,0.0,9.0
1.6,1.8,0,0.0,9.0
1.8,1.9,0,0.0,9.0
1.9,2.1,225,8.9,17.9
2.1,2.4,0,0.0,17.9
2.4,2.6,0,0.0,17.9
2.6,2.9,0,0.0,17.9
2.9,3.1,279,11.1,28.9
3.1,3.5,0,0.0,28.9
3.5,3.8,0,0.0,28.9
3.8,4.2,296,11.7,40.7
4.2,4.6,0,0.0,40.7
4.6,5.1,270,10.7,51.4
5.1,5.6,0,0.0,51.4
5.6,6.1,258,10.2,61.6
6.1,6.7,0,0.0,61.6
6.7,7.4,226,9.0,70.6
7.4,8.1,195,7.7,78.3
8.1,9.0,0,0.0,78.3
9.0,9.8,109,4.3,82.6
9.8,10.8,80,3.2,85.8
10.8,11.9,59,2.3,88.1
11.9,13.1,84,3.3,91.5
13.1,14.4,19,0.8,92.2
14.4,15.9,17,0.7,92.9
15.9,17.4,26,1.0,93.9
17.4,19.2,26,1.0,95.0
19.2,21.1,25,1.0,96.0
21.1,23.2,17,0.7,96.6
23.2,25.5,9,0.4,97.0
25.5,28.1,20,0.8,97.8
28.1,30.9,12,0.5,98.3
30.9,34.0,13,0.5,98.8
34.0,37.4,5,0.2,99.0
37.4,41.1,4,0.2,99.1
41.1,45.3,2,0.1,99.2
45.3,49.8,3,0.1,99.3
49.8,54.8,7,0.3,99.6
54.8,60.2,4,0.2,99.8
60.2,66.3,1,0.0,99.8
66.3,72.9,2,0.1,99.9
72.9,80.2,1,0.0,99.9
80.2,88.2,0,0.0,99.9
88.2,97.0,0,0.0,99.9
97.0,106.7,0,0.0,99.9
106.7,117.4,1,0.0,100.0
117.4,129.1,0,0.0,100.0
129.1,142.0,1,0.0,100.0
142.0,156.2,0,0.0,100.0
156.2,171.9,0,0.0,100.0
171.9,189.1,0,0.0,100.0
189.1,208.0,0,0.0,100.0
208.0,228.8,0,0.0,100.0
228.8,251.6,0,0.0,100.0
251.6,276.8,0,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,27,1.1,1.1
1.0,1.1,236,9.4,10.5
1.1,1.2,0,0.0,10.5
1.2,1.3,0,0.0,10.5
1.3,1.5,0,0.0,10.5
1.5,1.6,0,0.0,10.5
1.6,1.8,0,0.0,10.5
1.8,1.9,0,0.0,10.5
1.9,2.1,207,8.3,18.7
2.1,2.4,0,0.0,18.7
2.4,2.6,0,0.0,18.7
2.6,2.9,0,0.0,18.7
2.9,3.1,271,10.8,29.5
3.1,3.5,0,0.0,29.5
3.5,3.8,0,0.0,29.5
3.8,4.2,232,9.3,38.8
4.2,4.6,0,0.0,38.8
4.6,5.1,258,10.3,49.1
5.1,5.6,0,0.0,49.1
5.6,6.1,282,11.2,60.3
6.1,6.7,0,0.0,60.3
6.7,7.4,246,9.8,70.1
7.4,8.1,152,6.1,76.2
8.1,9.0,0,0.0,76.2
9.0,9.8,115,4.6,80.8
9.8,10.8,76,3.0,83.8
10.8,11.9,51,2.0,85.8
11.9,13.1,64,2.6,88.4
13.1,14.4,32,1.3,89.7
14.4,15.9,24,1.0,90.6
15.9,17.4,37,1.5,92.1
17.4,19.2,30,1.2,93.3
19.2,21.1,21,0.8,94.1
21.1,23.2,16,0.6,94.8
23.2,25.5,19,0.8,95.5
25.5,28.1,22,0.9,96.4
28.1,30.9,20,0.8,97.2
30.9,34.0,18,0.7,97.9
34.0,37.4,11,0.4,98.4
37.4,41.1,6,0.2,98.6
41.1,45.3,4,0.2,98.8
45.3,49.8,4,0.2,98.9
49.8,54.8,6,0.2,99.2
54.8,60.2,6,0.2,99.4
60.2,66.3,4,0.2,99.6
66.3,72.9,2,0.1,99.6
72.9,80.2,2,0.1,99.7
80.2,88.2,1,0.0,99.8
88.2,97.0,0,0.0,99.8
97.0,106.7,2,0.1,99.8
106.7,117.4,1,0.0,99.9
117.4,129.1,1,0.0,99.9
129.1,142.0,2,0.1,100.0
142.0,156.2,0,0.0,100.0
156.2,171.9,0,0.0,100.0
171.9,189.1,0,0.0,100.0
189.1,208.0,0,0.0,100.0
208.0,228.8,0,0.0,100.0
228.8,251.6,0,0.0,100.0
251.6,276.8,0,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
