Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers30padding1mb
RecordLimit:,10000
Workers:,30
PaddingSize:,1mb
Workload:,insert


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,0,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,0,0.0,0.0
4.2,4.6,0,0.0,0.0
4.6,5.1,0,0.0,0.0
5.1,5.6,0,0.0,0.0
5.6,6.1,0,0.0,0.0
6.1,6.7,0,0.0,0.0
6.7,7.4,0,0.0,0.0
7.4,8.1,0,0.0,0.0
8.1,9.0,0,0.0,0.0
9.0,9.8,0,0.0,0.0
9.8,10.8,4,0.0,0.0
10.8,11.9,2,0.0,0.1
11.9,13.1,31,0.3,0.4
13.1,14.4,28,0.3,0.6
14.4,15.9,29,0.3,0.9
15.9,17.4,92,0.9,1.9
17.4,19.2,87,0.9,2.7
19.2,21.1,75,0.7,3.5
21.1,23.2,118,1.2,4.6
23.2,25.5,152,1.5,6.2
25.5,28.1,184,1.8,8.0
28.1,30.9,95,0.9,8.9
30.9,34.0,183,1.8,10.8
34.0,37.4,95,0.9,11.7
37.4,41.1,57,0.6,12.3
41.1,45.3,39,0.4,12.7
45.3,49.8,30,0.3,13.0
49.8,54.8,42,0.4,13.4
54.8,60.2,52,0.5,13.9
60.2,66.3,78,0.8,14.7
66.3,72.9,101,1.0,15.7
72.9,80.2,153,1.5,17.2
80.2,88.2,175,1.7,19.0
88.2,97.0,253,2.5,21.5
97.0,106.7,261,2.6,24.1
106.7,117.4,359,3.6,27.7
117.4,129.1,401,4.0,31.7
129.1,142.0,371,3.7,35.4
142.0,156.2,324,3.2,38.6
156.2,171.9,205,2.0,40.6
171.9,189.1,155,1.5,42.2
189.1,208.0,88,0.9,43.1
208.0,228.8,94,0.9,44.0
228.8,251.6,70,0.7,44.7
251.6,276.8,84,0.8,45.5
276.8,304.5,96,1.0,46.5
304.5,334.9,161,1.6,48.1
334.9,368.4,283,2.8,50.9
368.4,405.3,411,4.1,55.0
405.3,445.8,620,6.2,61.2
445.8,490.4,750,7.5,68.7
490.4,539.4,612,6.1,74.8
539.4,593.3,354,3.5,78.3
593.3,652.7,268,2.7,81.0
652.7,718.0,281,2.8,83.8
718.0,789.7,365,3.6,87.4
789.7,868.7,308,3.1,90.5
868.7,955.6,225,2.2,92.7
955.6,1051.2,194,1.9,94.7
1051.2,1156.3,147,1.5,96.1
1156.3,1271.9,118,1.2,97.3
1271.9,1399.1,71,0.7,98.0
1399.1,1539.0,65,0.6,98.7
1539.0,1692.9,52,0.5,99.2
1692.9,1862.2,31,0.3,99.5
1862.2,2048.4,23,0.2,99.7
2048.4,2253.2,12,0.1,99.8
2253.2,2478.6,8,0.1,99.9
2478.6,2726.4,6,0.1,100.0
2726.4,2999.1,2,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
