Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers30padding1mb
RecordLimit:,5000
Workers:,30
PaddingSize:,1mb
Workload:,update-uniform


update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,0,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,1,0.0,0.0
4.2,4.6,0,0.0,0.0
4.6,5.1,1,0.0,0.0
5.1,5.6,0,0.0,0.0
5.6,6.1,5,0.1,0.1
6.1,6.7,0,0.0,0.1
6.7,7.4,1,0.0,0.2
7.4,8.1,1,0.0,0.2
8.1,9.0,0,0.0,0.2
9.0,9.8,1,0.0,0.2
9.8,10.8,0,0.0,0.2
10.8,11.9,1,0.0,0.2
11.9,13.1,4,0.1,0.3
13.1,14.4,4,0.1,0.4
14.4,15.9,0,0.0,0.4
15.9,17.4,2,0.0,0.4
17.4,19.2,2,0.0,0.5
19.2,21.1,2,0.0,0.5
21.1,23.2,1,0.0,0.5
23.2,25.5,1,0.0,0.5
25.5,28.1,1,0.0,0.6
28.1,30.9,1,0.0,0.6
30.9,34.0,4,0.1,0.7
34.0,37.4,4,0.1,0.7
37.4,41.1,2,0.0,0.8
41.1,45.3,9,0.2,1.0
45.3,49.8,8,0.2,1.1
49.8,54.8,9,0.2,1.3
54.8,60.2,17,0.3,1.7
60.2,66.3,19,0.4,2.0
66.3,72.9,17,0.3,2.4
72.9,80.2,34,0.7,3.1
80.2,88.2,32,0.6,3.7
88.2,97.0,31,0.6,4.3
97.0,106.7,47,0.9,5.3
106.7,117.4,60,1.2,6.5
117.4,129.1,84,1.7,8.2
129.1,142.0,95,1.9,10.1
142.0,156.2,125,2.5,12.6
156.2,171.9,204,4.1,16.8
171.9,189.1,282,5.7,22.5
189.1,208.0,213,4.3,26.8
208.0,228.8,321,6.5,33.2
228.8,251.6,572,11.6,44.8
251.6,276.8,770,15.5,60.3
276.8,304.5,803,16.2,76.6
304.5,334.9,499,10.1,86.6
334.9,368.4,220,4.4,91.1
368.4,405.3,120,2.4,93.5
405.3,445.8,59,1.2,94.7
445.8,490.4,30,0.6,95.3
490.4,539.4,19,0.4,95.7
539.4,593.3,27,0.5,96.2
593.3,652.7,16,0.3,96.5
652.7,718.0,21,0.4,97.0
718.0,789.7,29,0.6,97.6
789.7,868.7,34,0.7,98.2
868.7,955.6,26,0.5,98.8
955.6,1051.2,18,0.4,99.1
1051.2,1156.3,7,0.1,99.3
1156.3,1271.9,5,0.1,99.4
1271.9,1399.1,0,0.0,99.4
1399.1,1539.0,0,0.0,99.4
1539.0,1692.9,1,0.0,99.4
1692.9,1862.2,2,0.0,99.4
1862.2,2048.4,0,0.0,99.4
2048.4,2253.2,0,0.0,99.4
2253.2,2478.6,0,0.0,99.4
2478.6,2726.4,1,0.0,99.5
2726.4,2999.1,0,0.0,99.5
2999.1,3299.0,1,0.0,99.5
3299.0,3628.9,1,0.0,99.5
3628.9,3991.8,1,0.0,99.5
3991.8,4390.9,1,0.0,99.5
4390.9,4830.0,0,0.0,99.5
4830.0,5313.0,0,0.0,99.5
5313.0,5844.3,1,0.0,99.6
5844.3,6428.8,3,0.1,99.6
6428.8,7071.6,2,0.0,99.7
7071.6,7778.8,1,0.0,99.7
7778.8,8556.7,1,0.0,99.7
8556.7,9412.3,2,0.0,99.7
9412.3,10353.6,4,0.1,99.8
10353.6,11388.9,5,0.1,99.9
11388.9,inf,4,0.1,100.0
