Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers30padding1mb
RecordLimit:,5000
Workers:,30
PaddingSize:,1mb
Workload:,select-update-uniform


select latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,0,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,0,0.0,0.0
4.2,4.6,0,0.0,0.0
4.6,5.1,0,0.0,0.0
5.1,5.6,0,0.0,0.0
5.6,6.1,0,0.0,0.0
6.1,6.7,0,0.0,0.0
6.7,7.4,0,0.0,0.0
7.4,8.1,0,0.0,0.0
8.1,9.0,0,0.0,0.0
9.0,9.8,43,1.7,1.7
9.8,10.8,37,1.5,3.2
10.8,11.9,26,1.0,4.2
11.9,13.1,28,1.1,5.3
13.1,14.4,16,0.6,6.0
14.4,15.9,18,0.7,6.7
15.9,17.4,29,1.2,7.8
17.4,19.2,9,0.4,8.2
19.2,21.1,6,0.2,8.4
21.1,23.2,10,0.4,8.8
23.2,25.5,2,0.1,8.9
25.5,28.1,5,0.2,9.1
28.1,30.9,2,0.1,9.2
30.9,34.0,2,0.1,9.3
34.0,37.4,4,0.2,9.4
37.4,41.1,4,0.2,9.6
41.1,45.3,7,0.3,9.9
45.3,49.8,8,0.3,10.2
49.8,54.8,18,0.7,10.9
54.8,60.2,24,1.0,11.8
60.2,66.3,15,0.6,12.4
66.3,72.9,42,1.7,14.1
72.9,80.2,87,3.5,17.6
80.2,88.2,101,4.0,21.6
88.2,97.0,146,5.8,27.4
97.0,106.7,168,6.7,34.0
106.7,117.4,193,7.7,41.7
117.4,129.1,234,9.3,51.0
129.1,142.0,270,10.7,61.7
142.0,156.2,320,12.7,74.5
156.2,171.9,267,10.6,85.1
171.9,189.1,188,7.5,92.5
189.1,208.0,77,3.1,95.6
208.0,228.8,34,1.4,96.9
228.8,251.6,13,0.5,97.5
251.6,276.8,13,0.5,98.0
276.8,304.5,8,0.3,98.3
304.5,334.9,9,0.4,98.6
334.9,368.4,1,0.0,98.7
368.4,405.3,8,0.3,99.0
405.3,445.8,2,0.1,99.1
445.8,490.4,3,0.1,99.2
490.4,539.4,4,0.2,99.4
539.4,593.3,0,0.0,99.4
593.3,652.7,1,0.0,99.4
652.7,718.0,4,0.2,99.6
718.0,789.7,3,0.1,99.7
789.7,868.7,1,0.0,99.7
868.7,955.6,2,0.1,99.8
955.6,1051.2,1,0.0,99.8
1051.2,1156.3,1,0.0,99.9
1156.3,1271.9,0,0.0,99.9
1271.9,1399.1,0,0.0,99.9
1399.1,1539.0,2,0.1,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,1,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,1,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,0,0.0,0.0
4.2,4.6,0,0.0,0.0
4.6,5.1,1,0.0,0.1
5.1,5.6,0,0.0,0.1
5.6,6.1,0,0.0,0.1
6.1,6.7,0,0.0,0.1
6.7,7.4,0,0.0,0.1
7.4,8.1,0,0.0,0.1
8.1,9.0,0,0.0,0.1
9.0,9.8,0,0.0,0.1
9.8,10.8,0,0.0,0.1
10.8,11.9,0,0.0,0.1
11.9,13.1,1,0.0,0.1
13.1,14.4,0,0.0,0.1
14.4,15.9,1,0.0,0.2
15.9,17.4,2,0.1,0.2
17.4,19.2,4,0.2,0.4
19.2,21.1,1,0.0,0.4
21.1,23.2,2,0.1,0.5
23.2,25.5,0,0.0,0.5
25.5,28.1,5,0.2,0.7
28.1,30.9,3,0.1,0.8
30.9,34.0,4,0.2,1.0
34.0,37.4,4,0.2,1.2
37.4,41.1,7,0.3,1.4
41.1,45.3,9,0.4,1.8
45.3,49.8,8,0.3,2.1
49.8,54.8,10,0.4,2.5
54.8,60.2,16,0.6,3.1
60.2,66.3,15,0.6,3.7
66.3,72.9,10,0.4,4.1
72.9,80.2,19,0.8,4.9
80.2,88.2,19,0.8,5.7
88.2,97.0,16,0.6,6.3
97.0,106.7,23,0.9,7.2
106.7,117.4,42,1.7,8.9
117.4,129.1,39,1.6,10.4
129.1,142.0,45,1.8,12.2
142.0,156.2,69,2.7,15.0
156.2,171.9,99,3.9,18.9
171.9,189.1,129,5.1,24.0
189.1,208.0,86,3.4,27.5
208.0,228.8,66,2.6,30.1
228.8,251.6,20,0.8,30.9
251.6,276.8,14,0.6,31.4
276.8,304.5,10,0.4,31.8
304.5,334.9,13,0.5,32.4
334.9,368.4,17,0.7,33.0
368.4,405.3,30,1.2,34.2
405.3,445.8,27,1.1,35.3
445.8,490.4,88,3.5,38.8
490.4,539.4,159,6.3,45.1
539.4,593.3,163,6.5,51.6
593.3,652.7,76,3.0,54.6
652.7,718.0,35,1.4,56.0
718.0,789.7,32,1.3,57.3
789.7,868.7,86,3.4,60.7
868.7,955.6,150,6.0,66.7
955.6,1051.2,81,3.2,69.9
1051.2,1156.3,53,2.1,72.0
1156.3,1271.9,103,4.1,76.1
1271.9,1399.1,93,3.7,79.8
1399.1,1539.0,49,1.9,81.8
1539.0,1692.9,94,3.7,85.5
1692.9,1862.2,72,2.9,88.4
1862.2,2048.4,56,2.2,90.6
2048.4,2253.2,46,1.8,92.4
2253.2,2478.6,41,1.6,94.1
2478.6,2726.4,30,1.2,95.3
2726.4,2999.1,24,1.0,96.2
2999.1,3299.0,22,0.9,97.1
3299.0,3628.9,24,1.0,98.1
3628.9,3991.8,11,0.4,98.5
3991.8,4390.9,16,0.6,99.1
4390.9,4830.0,11,0.4,99.6
4830.0,5313.0,4,0.2,99.7
5313.0,5844.3,2,0.1,99.8
5844.3,6428.8,3,0.1,99.9
6428.8,7071.6,2,0.1,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
