Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers30
RecordLimit:,250000
Workers:,30
PaddingSize:,
Workload:,insert-update


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,113942,91.1,91.1
1.0,1.1,7633,6.1,97.2
1.1,1.2,0,0.0,97.2
1.2,1.3,0,0.0,97.2
1.3,1.5,0,0.0,97.2
1.5,1.6,0,0.0,97.2
1.6,1.8,0,0.0,97.2
1.8,1.9,0,0.0,97.2
1.9,2.1,1116,0.9,98.1
2.1,2.4,0,0.0,98.1
2.4,2.6,0,0.0,98.1
2.6,2.9,0,0.0,98.1
2.9,3.1,586,0.5,98.6
3.1,3.5,0,0.0,98.6
3.5,3.8,0,0.0,98.6
3.8,4.2,418,0.3,98.9
4.2,4.6,0,0.0,98.9
4.6,5.1,274,0.2,99.2
5.1,5.6,0,0.0,99.2
5.6,6.1,169,0.1,99.3
6.1,6.7,0,0.0,99.3
6.7,7.4,114,0.1,99.4
7.4,8.1,93,0.1,99.5
8.1,9.0,0,0.0,99.5
9.0,9.8,67,0.1,99.5
9.8,10.8,55,0.0,99.6
10.8,11.9,49,0.0,99.6
11.9,13.1,78,0.1,99.7
13.1,14.4,31,0.0,99.7
14.4,15.9,28,0.0,99.7
15.9,17.4,40,0.0,99.7
17.4,19.2,31,0.0,99.8
19.2,21.1,23,0.0,99.8
21.1,23.2,18,0.0,99.8
23.2,25.5,15,0.0,99.8
25.5,28.1,18,0.0,99.8
28.1,30.9,7,0.0,99.8
30.9,34.0,26,0.0,99.8
34.0,37.4,16,0.0,99.9
37.4,41.1,24,0.0,99.9
41.1,45.3,12,0.0,99.9
45.3,49.8,5,0.0,99.9
49.8,54.8,8,0.0,99.9
54.8,60.2,5,0.0,99.9
60.2,66.3,19,0.0,99.9
66.3,72.9,19,0.0,99.9
72.9,80.2,7,0.0,99.9
80.2,88.2,5,0.0,99.9
88.2,97.0,10,0.0,100.0
97.0,106.7,6,0.0,100.0
106.7,117.4,5,0.0,100.0
117.4,129.1,19,0.0,100.0
129.1,142.0,10,0.0,100.0
142.0,156.2,11,0.0,100.0
156.2,171.9,7,0.0,100.0
171.9,189.1,1,0.0,100.0
189.1,208.0,1,0.0,100.0
208.0,228.8,1,0.0,100.0
228.8,251.6,0,0.0,100.0
251.6,276.8,0,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,112544,90.0,90.0
1.0,1.1,8646,6.9,96.9
1.1,1.2,0,0.0,96.9
1.2,1.3,0,0.0,96.9
1.3,1.5,0,0.0,96.9
1.5,1.6,0,0.0,96.9
1.6,1.8,0,0.0,96.9
1.8,1.9,0,0.0,96.9
1.9,2.1,1241,1.0,97.9
2.1,2.4,0,0.0,97.9
2.4,2.6,0,0.0,97.9
2.6,2.9,0,0.0,97.9
2.9,3.1,670,0.5,98.5
3.1,3.5,0,0.0,98.5
3.5,3.8,0,0.0,98.5
3.8,4.2,397,0.3,98.8
4.2,4.6,0,0.0,98.8
4.6,5.1,286,0.2,99.0
5.1,5.6,0,0.0,99.0
5.6,6.1,209,0.2,99.2
6.1,6.7,0,0.0,99.2
6.7,7.4,143,0.1,99.3
7.4,8.1,110,0.1,99.4
8.1,9.0,0,0.0,99.4
9.0,9.8,74,0.1,99.4
9.8,10.8,73,0.1,99.5
10.8,11.9,56,0.0,99.6
11.9,13.1,83,0.1,99.6
13.1,14.4,23,0.0,99.6
14.4,15.9,20,0.0,99.7
15.9,17.4,40,0.0,99.7
17.4,19.2,41,0.0,99.7
19.2,21.1,22,0.0,99.7
21.1,23.2,21,0.0,99.8
23.2,25.5,18,0.0,99.8
25.5,28.1,33,0.0,99.8
28.1,30.9,10,0.0,99.8
30.9,34.0,28,0.0,99.8
34.0,37.4,17,0.0,99.8
37.4,41.1,26,0.0,99.9
41.1,45.3,15,0.0,99.9
45.3,49.8,8,0.0,99.9
49.8,54.8,9,0.0,99.9
54.8,60.2,9,0.0,99.9
60.2,66.3,21,0.0,99.9
66.3,72.9,22,0.0,99.9
72.9,80.2,11,0.0,99.9
80.2,88.2,7,0.0,99.9
88.2,97.0,9,0.0,99.9
97.0,106.7,11,0.0,100.0
106.7,117.4,6,0.0,100.0
117.4,129.1,13,0.0,100.0
129.1,142.0,15,0.0,100.0
142.0,156.2,5,0.0,100.0
156.2,171.9,12,0.0,100.0
171.9,189.1,4,0.0,100.0
189.1,208.0,0,0.0,100.0
208.0,228.8,0,0.0,100.0
228.8,251.6,0,0.0,100.0
251.6,276.8,0,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
