Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers30
RecordLimit:,250000
Workers:,30
PaddingSize:,
Workload:,insert-update


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,113503,90.8,90.8
1.0,1.1,1465,1.2,92.0
1.1,1.2,0,0.0,92.0
1.2,1.3,0,0.0,92.0
1.3,1.5,0,0.0,92.0
1.5,1.6,0,0.0,92.0
1.6,1.8,0,0.0,92.0
1.8,1.9,0,0.0,92.0
1.9,2.1,1182,0.9,92.9
2.1,2.4,0,0.0,92.9
2.4,2.6,0,0.0,92.9
2.6,2.9,0,0.0,92.9
2.9,3.1,1057,0.8,93.7
3.1,3.5,0,0.0,93.7
3.5,3.8,0,0.0,93.7
3.8,4.2,888,0.7,94.5
4.2,4.6,0,0.0,94.5
4.6,5.1,756,0.6,95.1
5.1,5.6,0,0.0,95.1
5.6,6.1,688,0.6,95.6
6.1,6.7,0,0.0,95.6
6.7,7.4,596,0.5,96.1
7.4,8.1,538,0.4,96.5
8.1,9.0,0,0.0,96.5
9.0,9.8,510,0.4,96.9
9.8,10.8,414,0.3,97.3
10.8,11.9,366,0.3,97.6
11.9,13.1,596,0.5,98.0
13.1,14.4,241,0.2,98.2
14.4,15.9,217,0.2,98.4
15.9,17.4,387,0.3,98.7
17.4,19.2,300,0.2,98.9
19.2,21.1,241,0.2,99.1
21.1,23.2,185,0.1,99.3
23.2,25.5,154,0.1,99.4
25.5,28.1,179,0.1,99.6
28.1,30.9,96,0.1,99.6
30.9,34.0,130,0.1,99.7
34.0,37.4,72,0.1,99.8
37.4,41.1,70,0.1,99.8
41.1,45.3,51,0.0,99.9
45.3,49.8,34,0.0,99.9
49.8,54.8,29,0.0,99.9
54.8,60.2,30,0.0,100.0
60.2,66.3,9,0.0,100.0
66.3,72.9,17,0.0,100.0
72.9,80.2,12,0.0,100.0
80.2,88.2,1,0.0,100.0
88.2,97.0,3,0.0,100.0
97.0,106.7,4,0.0,100.0
106.7,117.4,1,0.0,100.0
117.4,129.1,0,0.0,100.0
129.1,142.0,0,0.0,100.0
142.0,156.2,0,0.0,100.0
156.2,171.9,0,0.0,100.0
171.9,189.1,0,0.0,100.0
189.1,208.0,0,0.0,100.0
208.0,228.8,0,0.0,100.0
228.8,251.6,0,0.0,100.0
251.6,276.8,0,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,120985,96.8,96.8
1.0,1.1,552,0.4,97.2
1.1,1.2,0,0.0,97.2
1.2,1.3,0,0.0,97.2
1.3,1.5,0,0.0,97.2
1.5,1.6,0,0.0,97.2
1.6,1.8,0,0.0,97.2
1.8,1.9,0,0.0,97.2
1.9,2.1,433,0.3,97.6
2.1,2.4,0,0.0,97.6
2.4,2.6,0,0.0,97.6
2.6,2.9,0,0.0,97.6
2.9,3.1,346,0.3,97.8
3.1,3.5,0,0.0,97.8
3.5,3.8,0,0.0,97.8
3.8,4.2,330,0.3,98.1
4.2,4.6,0,0.0,98.1
4.6,5.1,265,0.2,98.3
5.1,5.6,0,0.0,98.3
5.6,6.1,233,0.2,98.5
6.1,6.7,0,0.0,98.5
6.7,7.4,215,0.2,98.7
7.4,8.1,199,0.2,98.8
8.1,9.0,0,0.0,98.8
9.0,9.8,163,0.1,99.0
9.8,10.8,150,0.1,99.1
10.8,11.9,124,0.1,99.2
11.9,13.1,180,0.1,99.3
13.1,14.4,83,0.1,99.4
14.4,15.9,68,0.1,99.5
15.9,17.4,119,0.1,99.5
17.4,19.2,113,0.1,99.6
19.2,21.1,77,0.1,99.7
21.1,23.2,64,0.1,99.8
23.2,25.5,55,0.0,99.8
25.5,28.1,71,0.1,99.9
28.1,30.9,27,0.0,99.9
30.9,34.0,53,0.0,99.9
34.0,37.4,21,0.0,99.9
37.4,41.1,22,0.0,100.0
41.1,45.3,19,0.0,100.0
45.3,49.8,12,0.0,100.0
49.8,54.8,9,0.0,100.0
54.8,60.2,5,0.0,100.0
60.2,66.3,5,0.0,100.0
66.3,72.9,5,0.0,100.0
72.9,80.2,1,0.0,100.0
80.2,88.2,1,0.0,100.0
88.2,97.0,3,0.0,100.0
97.0,106.7,0,0.0,100.0
106.7,117.4,0,0.0,100.0
117.4,129.1,0,0.0,100.0
129.1,142.0,0,0.0,100.0
142.0,156.2,0,0.0,100.0
156.2,171.9,0,0.0,100.0
171.9,189.1,0,0.0,100.0
189.1,208.0,0,0.0,100.0
208.0,228.8,0,0.0,100.0
228.8,251.6,0,0.0,100.0
251.6,276.8,0,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
