Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers30
RecordLimit:,250000
Workers:,30
PaddingSize:,
Workload:,update-uniform


update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,236222,94.5,94.5
1.0,1.1,3594,1.4,95.9
1.1,1.2,0,0.0,95.9
1.2,1.3,0,0.0,95.9
1.3,1.5,0,0.0,95.9
1.5,1.6,0,0.0,95.9
1.6,1.8,0,0.0,95.9
1.8,1.9,0,0.0,95.9
1.9,2.1,723,0.3,96.2
2.1,2.4,0,0.0,96.2
2.4,2.6,0,0.0,96.2
2.6,2.9,0,0.0,96.2
2.9,3.1,537,0.2,96.4
3.1,3.5,0,0.0,96.4
3.5,3.8,0,0.0,96.4
3.8,4.2,422,0.2,96.6
4.2,4.6,0,0.0,96.6
4.6,5.1,349,0.1,96.7
5.1,5.6,0,0.0,96.7
5.6,6.1,280,0.1,96.8
6.1,6.7,0,0.0,96.8
6.7,7.4,284,0.1,97.0
7.4,8.1,257,0.1,97.1
8.1,9.0,0,0.0,97.1
9.0,9.8,262,0.1,97.2
9.8,10.8,256,0.1,97.3
10.8,11.9,235,0.1,97.4
11.9,13.1,430,0.2,97.5
13.1,14.4,178,0.1,97.6
14.4,15.9,181,0.1,97.7
15.9,17.4,355,0.1,97.8
17.4,19.2,390,0.2,98.0
19.2,21.1,336,0.1,98.1
21.1,23.2,313,0.1,98.2
23.2,25.5,276,0.1,98.3
25.5,28.1,384,0.2,98.5
28.1,30.9,247,0.1,98.6
30.9,34.0,392,0.2,98.7
34.0,37.4,289,0.1,98.9
37.4,41.1,329,0.1,99.0
41.1,45.3,289,0.1,99.1
45.3,49.8,274,0.1,99.2
49.8,54.8,263,0.1,99.3
54.8,60.2,290,0.1,99.4
60.2,66.3,223,0.1,99.5
66.3,72.9,185,0.1,99.6
72.9,80.2,202,0.1,99.7
80.2,88.2,139,0.1,99.7
88.2,97.0,141,0.1,99.8
97.0,106.7,113,0.0,99.8
106.7,117.4,95,0.0,99.9
117.4,129.1,80,0.0,99.9
129.1,142.0,63,0.0,99.9
142.0,156.2,47,0.0,100.0
156.2,171.9,38,0.0,100.0
171.9,189.1,31,0.0,100.0
189.1,208.0,14,0.0,100.0
208.0,228.8,11,0.0,100.0
228.8,251.6,3,0.0,100.0
251.6,276.8,5,0.0,100.0
276.8,304.5,2,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,1,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
