Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers300padding1k
RecordLimit:,250000
Workers:,300
PaddingSize:,1k
Workload:,insert-update


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,136,0.1,0.1
3.1,3.5,0,0.0,0.1
3.5,3.8,0,0.0,0.1
3.8,4.2,39185,31.3,31.4
4.2,4.6,0,0.0,31.4
4.6,5.1,38390,30.7,62.1
5.1,5.6,0,0.0,62.1
5.6,6.1,21328,17.0,79.1
6.1,6.7,0,0.0,79.1
6.7,7.4,9427,7.5,86.6
7.4,8.1,8166,6.5,93.1
8.1,9.0,0,0.0,93.1
9.0,9.8,3148,2.5,95.6
9.8,10.8,1303,1.0,96.7
10.8,11.9,710,0.6,97.3
11.9,13.1,774,0.6,97.9
13.1,14.4,352,0.3,98.2
14.4,15.9,173,0.1,98.3
15.9,17.4,224,0.2,98.5
17.4,19.2,181,0.1,98.6
19.2,21.1,157,0.1,98.7
21.1,23.2,118,0.1,98.8
23.2,25.5,91,0.1,98.9
25.5,28.1,127,0.1,99.0
28.1,30.9,43,0.0,99.0
30.9,34.0,86,0.1,99.1
34.0,37.4,44,0.0,99.1
37.4,41.1,66,0.1,99.2
41.1,45.3,61,0.0,99.2
45.3,49.8,65,0.1,99.3
49.8,54.8,75,0.1,99.4
54.8,60.2,57,0.0,99.4
60.2,66.3,65,0.1,99.5
66.3,72.9,54,0.0,99.5
72.9,80.2,80,0.1,99.6
80.2,88.2,68,0.1,99.6
88.2,97.0,38,0.0,99.7
97.0,106.7,39,0.0,99.7
106.7,117.4,30,0.0,99.7
117.4,129.1,27,0.0,99.7
129.1,142.0,41,0.0,99.8
142.0,156.2,36,0.0,99.8
156.2,171.9,22,0.0,99.8
171.9,189.1,16,0.0,99.8
189.1,208.0,49,0.0,99.9
208.0,228.8,22,0.0,99.9
228.8,251.6,37,0.0,99.9
251.6,276.8,52,0.0,99.9
276.8,304.5,31,0.0,100.0
304.5,334.9,6,0.0,100.0
334.9,368.4,6,0.0,100.0
368.4,405.3,14,0.0,100.0
405.3,445.8,7,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,3,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,145,0.1,0.1
3.1,3.5,0,0.0,0.1
3.5,3.8,0,0.0,0.1
3.8,4.2,38657,30.9,31.0
4.2,4.6,0,0.0,31.0
4.6,5.1,37731,30.2,61.2
5.1,5.6,0,0.0,61.2
5.6,6.1,21026,16.8,78.0
6.1,6.7,0,0.0,78.0
6.7,7.4,9662,7.7,85.7
7.4,8.1,8468,6.8,92.5
8.1,9.0,0,0.0,92.5
9.0,9.8,3505,2.8,95.3
9.8,10.8,1292,1.0,96.3
10.8,11.9,688,0.6,96.9
11.9,13.1,868,0.7,97.6
13.1,14.4,352,0.3,97.9
14.4,15.9,252,0.2,98.1
15.9,17.4,310,0.2,98.3
17.4,19.2,230,0.2,98.5
19.2,21.1,176,0.1,98.6
21.1,23.2,133,0.1,98.7
23.2,25.5,95,0.1,98.8
25.5,28.1,132,0.1,98.9
28.1,30.9,76,0.1,99.0
30.9,34.0,92,0.1,99.1
34.0,37.4,32,0.0,99.1
37.4,41.1,70,0.1,99.1
41.1,45.3,68,0.1,99.2
45.3,49.8,63,0.1,99.2
49.8,54.8,66,0.1,99.3
54.8,60.2,55,0.0,99.3
60.2,66.3,74,0.1,99.4
66.3,72.9,56,0.0,99.4
72.9,80.2,76,0.1,99.5
80.2,88.2,84,0.1,99.6
88.2,97.0,27,0.0,99.6
97.0,106.7,40,0.0,99.6
106.7,117.4,40,0.0,99.7
117.4,129.1,25,0.0,99.7
129.1,142.0,41,0.0,99.7
142.0,156.2,41,0.0,99.7
156.2,171.9,32,0.0,99.8
171.9,189.1,30,0.0,99.8
189.1,208.0,62,0.0,99.8
208.0,228.8,27,0.0,99.9
228.8,251.6,36,0.0,99.9
251.6,276.8,45,0.0,99.9
276.8,304.5,38,0.0,100.0
304.5,334.9,7,0.0,100.0
334.9,368.4,7,0.0,100.0
368.4,405.3,23,0.0,100.0
405.3,445.8,11,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,4,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
