Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers300padding1k
RecordLimit:,250000
Workers:,300
PaddingSize:,1k
Workload:,update-zipfian


update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,6,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,39187,15.7,15.7
4.2,4.6,0,0.0,15.7
4.6,5.1,74534,29.8,45.4
5.1,5.6,0,0.0,45.4
5.6,6.1,58704,23.5,68.9
6.1,6.7,0,0.0,68.9
6.7,7.4,29348,11.7,80.6
7.4,8.1,20563,8.2,88.8
8.1,9.0,0,0.0,88.8
9.0,9.8,12963,5.2,94.0
9.8,10.8,4151,1.7,95.7
10.8,11.9,1705,0.7,96.3
11.9,13.1,2008,0.8,97.2
13.1,14.4,616,0.2,97.4
14.4,15.9,525,0.2,97.6
15.9,17.4,737,0.3,97.9
17.4,19.2,453,0.2,98.1
19.2,21.1,381,0.2,98.2
21.1,23.2,290,0.1,98.4
23.2,25.5,246,0.1,98.4
25.5,28.1,265,0.1,98.6
28.1,30.9,137,0.1,98.6
30.9,34.0,278,0.1,98.7
34.0,37.4,155,0.1,98.8
37.4,41.1,164,0.1,98.8
41.1,45.3,137,0.1,98.9
45.3,49.8,143,0.1,99.0
49.8,54.8,244,0.1,99.1
54.8,60.2,270,0.1,99.2
60.2,66.3,356,0.1,99.3
66.3,72.9,155,0.1,99.4
72.9,80.2,122,0.0,99.4
80.2,88.2,138,0.1,99.5
88.2,97.0,110,0.0,99.5
97.0,106.7,120,0.0,99.6
106.7,117.4,45,0.0,99.6
117.4,129.1,121,0.0,99.6
129.1,142.0,202,0.1,99.7
142.0,156.2,62,0.0,99.7
156.2,171.9,43,0.0,99.8
171.9,189.1,83,0.0,99.8
189.1,208.0,50,0.0,99.8
208.0,228.8,67,0.0,99.8
228.8,251.6,49,0.0,99.9
251.6,276.8,89,0.0,99.9
276.8,304.5,45,0.0,99.9
304.5,334.9,79,0.0,99.9
334.9,368.4,33,0.0,100.0
368.4,405.3,75,0.0,100.0
405.3,445.8,15,0.0,100.0
445.8,490.4,5,0.0,100.0
490.4,539.4,23,0.0,100.0
539.4,593.3,1,0.0,100.0
593.3,652.7,1,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,1,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
