Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers300padding1k
RecordLimit:,1000000
Workers:,300
PaddingSize:,1k
Workload:,insert


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,2,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,4,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,469,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,127262,12.7,12.8
4.2,4.6,0,0.0,12.8
4.6,5.1,97137,9.7,22.5
5.1,5.6,0,0.0,22.5
5.6,6.1,152120,15.2,37.7
6.1,6.7,0,0.0,37.7
6.7,7.4,183151,18.3,56.0
7.4,8.1,116571,11.7,67.7
8.1,9.0,0,0.0,67.7
9.0,9.8,119732,12.0,79.6
9.8,10.8,102793,10.3,89.9
10.8,11.9,51995,5.2,95.1
11.9,13.1,25383,2.5,97.6
13.1,14.4,4048,0.4,98.0
14.4,15.9,2951,0.3,98.3
15.9,17.4,5016,0.5,98.8
17.4,19.2,3233,0.3,99.2
19.2,21.1,1666,0.2,99.3
21.1,23.2,1033,0.1,99.4
23.2,25.5,666,0.1,99.5
25.5,28.1,859,0.1,99.6
28.1,30.9,366,0.0,99.6
30.9,34.0,605,0.1,99.7
34.0,37.4,238,0.0,99.7
37.4,41.1,277,0.0,99.7
41.1,45.3,221,0.0,99.7
45.3,49.8,204,0.0,99.8
49.8,54.8,166,0.0,99.8
54.8,60.2,144,0.0,99.8
60.2,66.3,140,0.0,99.8
66.3,72.9,186,0.0,99.8
72.9,80.2,157,0.0,99.8
80.2,88.2,165,0.0,99.9
88.2,97.0,195,0.0,99.9
97.0,106.7,240,0.0,99.9
106.7,117.4,136,0.0,99.9
117.4,129.1,91,0.0,99.9
129.1,142.0,139,0.0,99.9
142.0,156.2,138,0.0,100.0
156.2,171.9,88,0.0,100.0
171.9,189.1,62,0.0,100.0
189.1,208.0,116,0.0,100.0
208.0,228.8,46,0.0,100.0
228.8,251.6,49,0.0,100.0
251.6,276.8,23,0.0,100.0
276.8,304.5,8,0.0,100.0
304.5,334.9,8,0.0,100.0
334.9,368.4,1,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
