Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers300padding1k
RecordLimit:,250000
Workers:,300
PaddingSize:,1k
Workload:,select-update-uniform


select latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,0,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,6620,5.3,5.3
4.2,4.6,0,0.0,5.3
4.6,5.1,12604,10.1,15.4
5.1,5.6,0,0.0,15.4
5.6,6.1,13486,10.8,26.1
6.1,6.7,0,0.0,26.1
6.7,7.4,13056,10.4,36.5
7.4,8.1,12735,10.2,46.7
8.1,9.0,0,0.0,46.7
9.0,9.8,13715,11.0,57.7
9.8,10.8,13625,10.9,68.5
10.8,11.9,10719,8.6,77.1
11.9,13.1,16914,13.5,90.6
13.1,14.4,4080,3.3,93.9
14.4,15.9,2336,1.9,95.7
15.9,17.4,1838,1.5,97.2
17.4,19.2,975,0.8,98.0
19.2,21.1,612,0.5,98.5
21.1,23.2,385,0.3,98.8
23.2,25.5,375,0.3,99.1
25.5,28.1,324,0.3,99.3
28.1,30.9,106,0.1,99.4
30.9,34.0,148,0.1,99.5
34.0,37.4,65,0.1,99.6
37.4,41.1,41,0.0,99.6
41.1,45.3,26,0.0,99.6
45.3,49.8,26,0.0,99.7
49.8,54.8,43,0.0,99.7
54.8,60.2,23,0.0,99.7
60.2,66.3,8,0.0,99.7
66.3,72.9,15,0.0,99.7
72.9,80.2,15,0.0,99.7
80.2,88.2,10,0.0,99.8
88.2,97.0,28,0.0,99.8
97.0,106.7,26,0.0,99.8
106.7,117.4,11,0.0,99.8
117.4,129.1,45,0.0,99.8
129.1,142.0,24,0.0,99.9
142.0,156.2,10,0.0,99.9
156.2,171.9,16,0.0,99.9
171.9,189.1,36,0.0,99.9
189.1,208.0,22,0.0,99.9
208.0,228.8,15,0.0,99.9
228.8,251.6,24,0.0,100.0
251.6,276.8,15,0.0,100.0
276.8,304.5,7,0.0,100.0
304.5,334.9,12,0.0,100.0
334.9,368.4,7,0.0,100.0
368.4,405.3,8,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,0,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,6045,4.8,4.8
4.2,4.6,0,0.0,4.8
4.6,5.1,11964,9.6,14.4
5.1,5.6,0,0.0,14.4
5.6,6.1,12619,10.1,24.5
6.1,6.7,0,0.0,24.5
6.7,7.4,11975,9.6,34.1
7.4,8.1,11806,9.4,43.5
8.1,9.0,0,0.0,43.5
9.0,9.8,13462,10.8,54.3
9.8,10.8,13007,10.4,64.7
10.8,11.9,10349,8.3,72.9
11.9,13.1,17436,13.9,86.9
13.1,14.4,4726,3.8,90.7
14.4,15.9,2669,2.1,92.8
15.9,17.4,2589,2.1,94.9
17.4,19.2,1586,1.3,96.1
19.2,21.1,990,0.8,96.9
21.1,23.2,678,0.5,97.5
23.2,25.5,544,0.4,97.9
25.5,28.1,570,0.5,98.4
28.1,30.9,301,0.2,98.6
30.9,34.0,413,0.3,98.9
34.0,37.4,227,0.2,99.1
37.4,41.1,191,0.2,99.3
41.1,45.3,157,0.1,99.4
45.3,49.8,106,0.1,99.5
49.8,54.8,103,0.1,99.6
54.8,60.2,53,0.0,99.6
60.2,66.3,42,0.0,99.6
66.3,72.9,28,0.0,99.7
72.9,80.2,35,0.0,99.7
80.2,88.2,26,0.0,99.7
88.2,97.0,34,0.0,99.7
97.0,106.7,48,0.0,99.8
106.7,117.4,40,0.0,99.8
117.4,129.1,20,0.0,99.8
129.1,142.0,44,0.0,99.9
142.0,156.2,13,0.0,99.9
156.2,171.9,15,0.0,99.9
171.9,189.1,21,0.0,99.9
189.1,208.0,18,0.0,99.9
208.0,228.8,23,0.0,99.9
228.8,251.6,25,0.0,99.9
251.6,276.8,28,0.0,100.0
276.8,304.5,12,0.0,100.0
304.5,334.9,11,0.0,100.0
334.9,368.4,7,0.0,100.0
368.4,405.3,5,0.0,100.0
405.3,445.8,8,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
