Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers300padding1k
RecordLimit:,250000
Workers:,300
PaddingSize:,1k
Workload:,insert-update


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,102941,82.2,82.2
1.0,1.1,1765,1.4,83.6
1.1,1.2,0,0.0,83.6
1.2,1.3,0,0.0,83.6
1.3,1.5,0,0.0,83.6
1.5,1.6,0,0.0,83.6
1.6,1.8,0,0.0,83.6
1.8,1.9,0,0.0,83.6
1.9,2.1,371,0.3,83.9
2.1,2.4,0,0.0,83.9
2.4,2.6,0,0.0,83.9
2.6,2.9,0,0.0,83.9
2.9,3.1,199,0.2,84.0
3.1,3.5,0,0.0,84.0
3.5,3.8,0,0.0,84.0
3.8,4.2,81,0.1,84.1
4.2,4.6,0,0.0,84.1
4.6,5.1,67,0.1,84.2
5.1,5.6,0,0.0,84.2
5.6,6.1,39,0.0,84.2
6.1,6.7,0,0.0,84.2
6.7,7.4,51,0.0,84.2
7.4,8.1,90,0.1,84.3
8.1,9.0,0,0.0,84.3
9.0,9.8,50,0.0,84.3
9.8,10.8,102,0.1,84.4
10.8,11.9,352,0.3,84.7
11.9,13.1,709,0.6,85.3
13.1,14.4,176,0.1,85.4
14.4,15.9,136,0.1,85.5
15.9,17.4,252,0.2,85.7
17.4,19.2,115,0.1,85.8
19.2,21.1,107,0.1,85.9
21.1,23.2,309,0.2,86.1
23.2,25.5,482,0.4,86.5
25.5,28.1,307,0.2,86.8
28.1,30.9,188,0.2,86.9
30.9,34.0,348,0.3,87.2
34.0,37.4,528,0.4,87.6
37.4,41.1,441,0.4,88.0
41.1,45.3,303,0.2,88.2
45.3,49.8,521,0.4,88.6
49.8,54.8,573,0.5,89.1
54.8,60.2,440,0.4,89.4
60.2,66.3,726,0.6,90.0
66.3,72.9,422,0.3,90.4
72.9,80.2,771,0.6,91.0
80.2,88.2,579,0.5,91.4
88.2,97.0,630,0.5,91.9
97.0,106.7,652,0.5,92.5
106.7,117.4,717,0.6,93.0
117.4,129.1,714,0.6,93.6
129.1,142.0,695,0.6,94.2
142.0,156.2,663,0.5,94.7
156.2,171.9,660,0.5,95.2
171.9,189.1,689,0.6,95.8
189.1,208.0,612,0.5,96.3
208.0,228.8,638,0.5,96.8
228.8,251.6,567,0.5,97.2
251.6,276.8,548,0.4,97.6
276.8,304.5,472,0.4,98.0
304.5,334.9,420,0.3,98.4
334.9,368.4,396,0.3,98.7
368.4,405.3,382,0.3,99.0
405.3,445.8,258,0.2,99.2
445.8,490.4,232,0.2,99.4
490.4,539.4,169,0.1,99.5
539.4,593.3,167,0.1,99.6
593.3,652.7,109,0.1,99.7
652.7,718.0,88,0.1,99.8
718.0,789.7,74,0.1,99.9
789.7,868.7,78,0.1,99.9
868.7,955.6,41,0.0,100.0
955.6,1051.2,27,0.0,100.0
1051.2,1156.3,11,0.0,100.0
1156.3,1271.9,12,0.0,100.0
1271.9,1399.1,5,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,3,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,117694,94.1,94.1
1.0,1.1,1856,1.5,95.6
1.1,1.2,0,0.0,95.6
1.2,1.3,0,0.0,95.6
1.3,1.5,0,0.0,95.6
1.5,1.6,0,0.0,95.6
1.6,1.8,0,0.0,95.6
1.8,1.9,0,0.0,95.6
1.9,2.1,359,0.3,95.9
2.1,2.4,0,0.0,95.9
2.4,2.6,0,0.0,95.9
2.6,2.9,0,0.0,95.9
2.9,3.1,170,0.1,96.0
3.1,3.5,0,0.0,96.0
3.5,3.8,0,0.0,96.0
3.8,4.2,81,0.1,96.1
4.2,4.6,0,0.0,96.1
4.6,5.1,67,0.1,96.2
5.1,5.6,0,0.0,96.2
5.6,6.1,33,0.0,96.2
6.1,6.7,0,0.0,96.2
6.7,7.4,24,0.0,96.2
7.4,8.1,35,0.0,96.2
8.1,9.0,0,0.0,96.2
9.0,9.8,19,0.0,96.2
9.8,10.8,39,0.0,96.3
10.8,11.9,102,0.1,96.4
11.9,13.1,180,0.1,96.5
13.1,14.4,60,0.0,96.6
14.4,15.9,38,0.0,96.6
15.9,17.4,61,0.0,96.6
17.4,19.2,24,0.0,96.7
19.2,21.1,49,0.0,96.7
21.1,23.2,91,0.1,96.8
23.2,25.5,142,0.1,96.9
25.5,28.1,76,0.1,96.9
28.1,30.9,42,0.0,97.0
30.9,34.0,88,0.1,97.0
34.0,37.4,144,0.1,97.2
37.4,41.1,93,0.1,97.2
41.1,45.3,63,0.1,97.3
45.3,49.8,126,0.1,97.4
49.8,54.8,113,0.1,97.5
54.8,60.2,104,0.1,97.6
60.2,66.3,167,0.1,97.7
66.3,72.9,97,0.1,97.8
72.9,80.2,200,0.2,97.9
80.2,88.2,144,0.1,98.0
88.2,97.0,125,0.1,98.1
97.0,106.7,167,0.1,98.3
106.7,117.4,197,0.2,98.4
117.4,129.1,167,0.1,98.6
129.1,142.0,160,0.1,98.7
142.0,156.2,162,0.1,98.8
156.2,171.9,137,0.1,98.9
171.9,189.1,143,0.1,99.0
189.1,208.0,140,0.1,99.2
208.0,228.8,124,0.1,99.3
228.8,251.6,131,0.1,99.4
251.6,276.8,111,0.1,99.5
276.8,304.5,109,0.1,99.5
304.5,334.9,104,0.1,99.6
334.9,368.4,104,0.1,99.7
368.4,405.3,76,0.1,99.8
405.3,445.8,69,0.1,99.8
445.8,490.4,52,0.0,99.9
490.4,539.4,42,0.0,99.9
539.4,593.3,41,0.0,99.9
593.3,652.7,20,0.0,99.9
652.7,718.0,17,0.0,100.0
718.0,789.7,17,0.0,100.0
789.7,868.7,7,0.0,100.0
868.7,955.6,8,0.0,100.0
955.6,1051.2,9,0.0,100.0
1051.2,1156.3,6,0.0,100.0
1156.3,1271.9,3,0.0,100.0
1271.9,1399.1,1,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
