Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers300padding1k
RecordLimit:,250000
Workers:,300
PaddingSize:,1k
Workload:,update-zipfian


update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,242183,96.8,96.8
1.0,1.1,658,0.3,97.0
1.1,1.2,0,0.0,97.0
1.2,1.3,0,0.0,97.0
1.3,1.5,0,0.0,97.0
1.5,1.6,0,0.0,97.0
1.6,1.8,0,0.0,97.0
1.8,1.9,0,0.0,97.0
1.9,2.1,161,0.1,97.1
2.1,2.4,0,0.0,97.1
2.4,2.6,0,0.0,97.1
2.6,2.9,0,0.0,97.1
2.9,3.1,72,0.0,97.1
3.1,3.5,0,0.0,97.1
3.5,3.8,0,0.0,97.1
3.8,4.2,65,0.0,97.1
4.2,4.6,0,0.0,97.1
4.6,5.1,79,0.0,97.2
5.1,5.6,0,0.0,97.2
5.6,6.1,41,0.0,97.2
6.1,6.7,0,0.0,97.2
6.7,7.4,32,0.0,97.2
7.4,8.1,26,0.0,97.2
8.1,9.0,0,0.0,97.2
9.0,9.8,76,0.0,97.2
9.8,10.8,110,0.0,97.3
10.8,11.9,63,0.0,97.3
11.9,13.1,19,0.0,97.3
13.1,14.4,9,0.0,97.3
14.4,15.9,0,0.0,97.3
15.9,17.4,17,0.0,97.3
17.4,19.2,55,0.0,97.3
19.2,21.1,153,0.1,97.4
21.1,23.2,68,0.0,97.4
23.2,25.5,7,0.0,97.4
25.5,28.1,22,0.0,97.4
28.1,30.9,105,0.0,97.5
30.9,34.0,34,0.0,97.5
34.0,37.4,8,0.0,97.5
37.4,41.1,124,0.0,97.6
41.1,45.3,25,0.0,97.6
45.3,49.8,75,0.0,97.6
49.8,54.8,74,0.0,97.6
54.8,60.2,129,0.1,97.7
60.2,66.3,50,0.0,97.7
66.3,72.9,121,0.0,97.7
72.9,80.2,105,0.0,97.8
80.2,88.2,89,0.0,97.8
88.2,97.0,122,0.0,97.9
97.0,106.7,131,0.1,97.9
106.7,117.4,136,0.1,98.0
117.4,129.1,192,0.1,98.1
129.1,142.0,154,0.1,98.1
142.0,156.2,149,0.1,98.2
156.2,171.9,202,0.1,98.3
171.9,189.1,190,0.1,98.3
189.1,208.0,195,0.1,98.4
208.0,228.8,206,0.1,98.5
228.8,251.6,234,0.1,98.6
251.6,276.8,187,0.1,98.7
276.8,304.5,249,0.1,98.8
304.5,334.9,214,0.1,98.8
334.9,368.4,219,0.1,98.9
368.4,405.3,240,0.1,99.0
405.3,445.8,219,0.1,99.1
445.8,490.4,237,0.1,99.2
490.4,539.4,214,0.1,99.3
539.4,593.3,208,0.1,99.4
593.3,652.7,173,0.1,99.5
652.7,718.0,184,0.1,99.5
718.0,789.7,169,0.1,99.6
789.7,868.7,166,0.1,99.7
868.7,955.6,150,0.1,99.7
955.6,1051.2,129,0.1,99.8
1051.2,1156.3,121,0.0,99.8
1156.3,1271.9,111,0.0,99.9
1271.9,1399.1,81,0.0,99.9
1399.1,1539.0,73,0.0,99.9
1539.0,1692.9,62,0.0,99.9
1692.9,1862.2,37,0.0,100.0
1862.2,2048.4,35,0.0,100.0
2048.4,2253.2,22,0.0,100.0
2253.2,2478.6,16,0.0,100.0
2478.6,2726.4,11,0.0,100.0
2726.4,2999.1,4,0.0,100.0
2999.1,3299.0,3,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
