Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers300padding1k
RecordLimit:,250000
Workers:,300
PaddingSize:,1k
Workload:,select-update-zipfian


select latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,120372,96.2,96.2
1.0,1.1,3,0.0,96.2
1.1,1.2,0,0.0,96.2
1.2,1.3,0,0.0,96.2
1.3,1.5,0,0.0,96.2
1.5,1.6,0,0.0,96.2
1.6,1.8,0,0.0,96.2
1.8,1.9,0,0.0,96.2
1.9,2.1,0,0.0,96.2
2.1,2.4,0,0.0,96.2
2.4,2.6,0,0.0,96.2
2.6,2.9,0,0.0,96.2
2.9,3.1,0,0.0,96.2
3.1,3.5,0,0.0,96.2
3.5,3.8,0,0.0,96.2
3.8,4.2,0,0.0,96.2
4.2,4.6,0,0.0,96.2
4.6,5.1,68,0.1,96.2
5.1,5.6,0,0.0,96.2
5.6,6.1,792,0.6,96.9
6.1,6.7,0,0.0,96.9
6.7,7.4,84,0.1,96.9
7.4,8.1,18,0.0,96.9
8.1,9.0,0,0.0,96.9
9.0,9.8,13,0.0,97.0
9.8,10.8,14,0.0,97.0
10.8,11.9,52,0.0,97.0
11.9,13.1,581,0.5,97.5
13.1,14.4,37,0.0,97.5
14.4,15.9,13,0.0,97.5
15.9,17.4,59,0.0,97.6
17.4,19.2,421,0.3,97.9
19.2,21.1,113,0.1,98.0
21.1,23.2,41,0.0,98.0
23.2,25.5,245,0.2,98.2
25.5,28.1,172,0.1,98.3
28.1,30.9,73,0.1,98.4
30.9,34.0,298,0.2,98.6
34.0,37.4,142,0.1,98.8
37.4,41.1,202,0.2,98.9
41.1,45.3,159,0.1,99.0
45.3,49.8,147,0.1,99.2
49.8,54.8,194,0.2,99.3
54.8,60.2,142,0.1,99.4
60.2,66.3,147,0.1,99.6
66.3,72.9,107,0.1,99.6
72.9,80.2,113,0.1,99.7
80.2,88.2,80,0.1,99.8
88.2,97.0,65,0.1,99.8
97.0,106.7,52,0.0,99.9
106.7,117.4,58,0.0,99.9
117.4,129.1,32,0.0,100.0
129.1,142.0,25,0.0,100.0
142.0,156.2,12,0.0,100.0
156.2,171.9,10,0.0,100.0
171.9,189.1,3,0.0,100.0
189.1,208.0,1,0.0,100.0
208.0,228.8,2,0.0,100.0
228.8,251.6,1,0.0,100.0
251.6,276.8,1,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,77790,62.2,62.2
1.0,1.1,198,0.2,62.3
1.1,1.2,0,0.0,62.3
1.2,1.3,0,0.0,62.3
1.3,1.5,0,0.0,62.3
1.5,1.6,0,0.0,62.3
1.6,1.8,0,0.0,62.3
1.8,1.9,0,0.0,62.3
1.9,2.1,93,0.1,62.4
2.1,2.4,0,0.0,62.4
2.4,2.6,0,0.0,62.4
2.6,2.9,0,0.0,62.4
2.9,3.1,41,0.0,62.4
3.1,3.5,0,0.0,62.4
3.5,3.8,0,0.0,62.4
3.8,4.2,12,0.0,62.4
4.2,4.6,0,0.0,62.4
4.6,5.1,387,0.3,62.7
5.1,5.6,0,0.0,62.7
5.6,6.1,7421,5.9,68.7
6.1,6.7,0,0.0,68.7
6.7,7.4,1317,1.1,69.7
7.4,8.1,189,0.2,69.9
8.1,9.0,0,0.0,69.9
9.0,9.8,122,0.1,70.0
9.8,10.8,154,0.1,70.1
10.8,11.9,384,0.3,70.4
11.9,13.1,6292,5.0,75.4
13.1,14.4,530,0.4,75.9
14.4,15.9,172,0.1,76.0
15.9,17.4,575,0.5,76.5
17.4,19.2,3938,3.1,79.6
19.2,21.1,1387,1.1,80.7
21.1,23.2,538,0.4,81.1
23.2,25.5,2151,1.7,82.9
25.5,28.1,2246,1.8,84.7
28.1,30.9,684,0.5,85.2
30.9,34.0,3021,2.4,87.6
34.0,37.4,1096,0.9,88.5
37.4,41.1,2129,1.7,90.2
41.1,45.3,1652,1.3,91.5
45.3,49.8,1188,0.9,92.5
49.8,54.8,1598,1.3,93.7
54.8,60.2,1532,1.2,95.0
60.2,66.3,1184,0.9,95.9
66.3,72.9,970,0.8,96.7
72.9,80.2,983,0.8,97.5
80.2,88.2,778,0.6,98.1
88.2,97.0,624,0.5,98.6
97.0,106.7,465,0.4,99.0
106.7,117.4,419,0.3,99.3
117.4,129.1,284,0.2,99.5
129.1,142.0,220,0.2,99.7
142.0,156.2,150,0.1,99.8
156.2,171.9,105,0.1,99.9
171.9,189.1,64,0.1,100.0
189.1,208.0,23,0.0,100.0
208.0,228.8,18,0.0,100.0
228.8,251.6,8,0.0,100.0
251.6,276.8,3,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,1,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
