Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers300
RecordLimit:,1000000
Workers:,300
PaddingSize:,
Workload:,insert


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,2,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,7627,0.8,0.8
3.1,3.5,0,0.0,0.8
3.5,3.8,0,0.0,0.8
3.8,4.2,91118,9.1,9.9
4.2,4.6,0,0.0,9.9
4.6,5.1,69150,6.9,16.8
5.1,5.6,0,0.0,16.8
5.6,6.1,124650,12.5,29.2
6.1,6.7,0,0.0,29.2
6.7,7.4,92735,9.3,38.5
7.4,8.1,127018,12.7,51.2
8.1,9.0,0,0.0,51.2
9.0,9.8,132786,13.3,64.5
9.8,10.8,105196,10.5,75.0
10.8,11.9,118179,11.8,86.8
11.9,13.1,92219,9.2,96.0
13.1,14.4,11453,1.1,97.2
14.4,15.9,5912,0.6,97.8
15.9,17.4,6691,0.7,98.4
17.4,19.2,3694,0.4,98.8
19.2,21.1,2836,0.3,99.1
21.1,23.2,1811,0.2,99.3
23.2,25.5,990,0.1,99.4
25.5,28.1,1061,0.1,99.5
28.1,30.9,467,0.0,99.5
30.9,34.0,687,0.1,99.6
34.0,37.4,536,0.1,99.7
37.4,41.1,478,0.0,99.7
41.1,45.3,302,0.0,99.7
45.3,49.8,232,0.0,99.8
49.8,54.8,176,0.0,99.8
54.8,60.2,206,0.0,99.8
60.2,66.3,186,0.0,99.8
66.3,72.9,284,0.0,99.8
72.9,80.2,224,0.0,99.9
80.2,88.2,108,0.0,99.9
88.2,97.0,145,0.0,99.9
97.0,106.7,122,0.0,99.9
106.7,117.4,143,0.0,99.9
117.4,129.1,93,0.0,99.9
129.1,142.0,230,0.0,99.9
142.0,156.2,119,0.0,100.0
156.2,171.9,51,0.0,100.0
171.9,189.1,22,0.0,100.0
189.1,208.0,36,0.0,100.0
208.0,228.8,34,0.0,100.0
228.8,251.6,106,0.0,100.0
251.6,276.8,101,0.0,100.0
276.8,304.5,22,0.0,100.0
304.5,334.9,11,0.0,100.0
334.9,368.4,14,0.0,100.0
368.4,405.3,22,0.0,100.0
405.3,445.8,6,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,8,0.0,100.0
539.4,593.3,1,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
