Endpoint:,mongodb://127.0.0.1:27017/test
Table:,myrunworkers300
RecordLimit:,250000
Workers:,300
PaddingSize:,
Workload:,select-update-uniform


select latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,8,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,3591,2.9,2.9
4.2,4.6,0,0.0,2.9
4.6,5.1,9854,7.9,10.7
5.1,5.6,0,0.0,10.7
5.6,6.1,8763,7.0,17.7
6.1,6.7,0,0.0,17.7
6.7,7.4,11055,8.8,26.6
7.4,8.1,14874,11.9,38.4
8.1,9.0,0,0.0,38.4
9.0,9.8,16386,13.1,51.5
9.8,10.8,17945,14.3,65.9
10.8,11.9,15247,12.2,78.0
11.9,13.1,18174,14.5,92.6
13.1,14.4,4341,3.5,96.0
14.4,15.9,2227,1.8,97.8
15.9,17.4,1414,1.1,98.9
17.4,19.2,250,0.2,99.1
19.2,21.1,143,0.1,99.2
21.1,23.2,179,0.1,99.4
23.2,25.5,133,0.1,99.5
25.5,28.1,223,0.2,99.7
28.1,30.9,103,0.1,99.8
30.9,34.0,86,0.1,99.8
34.0,37.4,33,0.0,99.8
37.4,41.1,14,0.0,99.9
41.1,45.3,21,0.0,99.9
45.3,49.8,18,0.0,99.9
49.8,54.8,9,0.0,99.9
54.8,60.2,14,0.0,99.9
60.2,66.3,10,0.0,99.9
66.3,72.9,4,0.0,99.9
72.9,80.2,9,0.0,99.9
80.2,88.2,4,0.0,99.9
88.2,97.0,3,0.0,99.9
97.0,106.7,7,0.0,99.9
106.7,117.4,7,0.0,99.9
117.4,129.1,7,0.0,100.0
129.1,142.0,35,0.0,100.0
142.0,156.2,1,0.0,100.0
156.2,171.9,2,0.0,100.0
171.9,189.1,2,0.0,100.0
189.1,208.0,3,0.0,100.0
208.0,228.8,0,0.0,100.0
228.8,251.6,5,0.0,100.0
251.6,276.8,5,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,3,0.0,100.0
368.4,405.3,5,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0

update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,8,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,3386,2.7,2.7
4.2,4.6,0,0.0,2.7
4.6,5.1,9399,7.5,10.2
5.1,5.6,0,0.0,10.2
5.6,6.1,8778,7.0,17.2
6.1,6.7,0,0.0,17.2
6.7,7.4,10678,8.5,25.8
7.4,8.1,14566,11.6,37.4
8.1,9.0,0,0.0,37.4
9.0,9.8,16113,12.9,50.3
9.8,10.8,18028,14.4,64.7
10.8,11.9,15218,12.2,76.9
11.9,13.1,18953,15.2,92.0
13.1,14.4,4547,3.6,95.7
14.4,15.9,2408,1.9,97.6
15.9,17.4,1656,1.3,98.9
17.4,19.2,277,0.2,99.1
19.2,21.1,168,0.1,99.3
21.1,23.2,139,0.1,99.4
23.2,25.5,92,0.1,99.5
25.5,28.1,190,0.2,99.6
28.1,30.9,92,0.1,99.7
30.9,34.0,113,0.1,99.8
34.0,37.4,20,0.0,99.8
37.4,41.1,24,0.0,99.8
41.1,45.3,30,0.0,99.8
45.3,49.8,29,0.0,99.9
49.8,54.8,17,0.0,99.9
54.8,60.2,10,0.0,99.9
60.2,66.3,4,0.0,99.9
66.3,72.9,11,0.0,99.9
72.9,80.2,10,0.0,99.9
80.2,88.2,11,0.0,99.9
88.2,97.0,4,0.0,99.9
97.0,106.7,2,0.0,99.9
106.7,117.4,6,0.0,99.9
117.4,129.1,4,0.0,99.9
129.1,142.0,39,0.0,100.0
142.0,156.2,15,0.0,100.0
156.2,171.9,5,0.0,100.0
171.9,189.1,0,0.0,100.0
189.1,208.0,1,0.0,100.0
208.0,228.8,1,0.0,100.0
228.8,251.6,6,0.0,100.0
251.6,276.8,18,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,1,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,4,0.0,100.0
405.3,445.8,1,0.0,100.0
445.8,490.4,1,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
