Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers300
RecordLimit:,250000
Workers:,300
PaddingSize:,
Workload:,select-update-uniform


select latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,119854,95.7,95.7
1.0,1.1,6,0.0,95.7
1.1,1.2,0,0.0,95.7
1.2,1.3,0,0.0,95.7
1.3,1.5,0,0.0,95.7
1.5,1.6,0,0.0,95.7
1.6,1.8,0,0.0,95.7
1.8,1.9,0,0.0,95.7
1.9,2.1,0,0.0,95.7
2.1,2.4,0,0.0,95.7
2.4,2.6,0,0.0,95.7
2.6,2.9,0,0.0,95.7
2.9,3.1,1,0.0,95.7
3.1,3.5,0,0.0,95.7
3.5,3.8,0,0.0,95.7
3.8,4.2,1,0.0,95.7
4.2,4.6,0,0.0,95.7
4.6,5.1,0,0.0,95.7
5.1,5.6,0,0.0,95.7
5.6,6.1,4,0.0,95.8
6.1,6.7,0,0.0,95.8
6.7,7.4,107,0.1,95.8
7.4,8.1,198,0.2,96.0
8.1,9.0,0,0.0,96.0
9.0,9.8,84,0.1,96.1
9.8,10.8,61,0.0,96.1
10.8,11.9,28,0.0,96.1
11.9,13.1,17,0.0,96.1
13.1,14.4,16,0.0,96.2
14.4,15.9,91,0.1,96.2
15.9,17.4,180,0.1,96.4
17.4,19.2,81,0.1,96.4
19.2,21.1,49,0.0,96.5
21.1,23.2,72,0.1,96.5
23.2,25.5,121,0.1,96.6
25.5,28.1,117,0.1,96.7
28.1,30.9,46,0.0,96.8
30.9,34.0,234,0.2,97.0
34.0,37.4,104,0.1,97.0
37.4,41.1,146,0.1,97.1
41.1,45.3,117,0.1,97.2
45.3,49.8,174,0.1,97.4
49.8,54.8,150,0.1,97.5
54.8,60.2,229,0.2,97.7
60.2,66.3,126,0.1,97.8
66.3,72.9,202,0.2,97.9
72.9,80.2,208,0.2,98.1
80.2,88.2,189,0.2,98.3
88.2,97.0,196,0.2,98.4
97.0,106.7,191,0.2,98.6
106.7,117.4,178,0.1,98.7
117.4,129.1,196,0.2,98.9
129.1,142.0,172,0.1,99.0
142.0,156.2,171,0.1,99.1
156.2,171.9,153,0.1,99.3
