Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers300
RecordLimit:,250000
Workers:,300
PaddingSize:,
Workload:,select-update-zipfian


select latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,120143,96.0,96.0
1.0,1.1,8,0.0,96.0
1.1,1.2,0,0.0,96.0
1.2,1.3,0,0.0,96.0
1.3,1.5,0,0.0,96.0
1.5,1.6,0,0.0,96.0
1.6,1.8,0,0.0,96.0
1.8,1.9,0,0.0,96.0
1.9,2.1,1,0.0,96.0
2.1,2.4,0,0.0,96.0
2.4,2.6,0,0.0,96.0
2.6,2.9,0,0.0,96.0
2.9,3.1,0,0.0,96.0
3.1,3.5,0,0.0,96.0
3.5,3.8,0,0.0,96.0
3.8,4.2,1,0.0,96.0
4.2,4.6,0,0.0,96.0
4.6,5.1,63,0.1,96.0
5.1,5.6,0,0.0,96.0
5.6,6.1,229,0.2,96.2
6.1,6.7,0,0.0,96.2
6.7,7.4,160,0.1,96.3
7.4,8.1,22,0.0,96.4
8.1,9.0,0,0.0,96.4
9.0,9.8,6,0.0,96.4
9.8,10.8,5,0.0,96.4
10.8,11.9,69,0.1,96.4
11.9,13.1,201,0.2,96.6
13.1,14.4,102,0.1,96.7
14.4,15.9,49,0.0,96.7
15.9,17.4,66,0.1,96.8
17.4,19.2,126,0.1,96.9
19.2,21.1,150,0.1,97.0
21.1,23.2,93,0.1,97.1
23.2,25.5,73,0.1,97.1
25.5,28.1,187,0.1,97.3
28.1,30.9,58,0.0,97.3
30.9,34.0,210,0.2,97.5
34.0,37.4,133,0.1,97.6
37.4,41.1,158,0.1,97.7
41.1,45.3,172,0.1,97.8
45.3,49.8,143,0.1,98.0
49.8,54.8,199,0.2,98.1
54.8,60.2,221,0.2,98.3
60.2,66.3,180,0.1,98.4
66.3,72.9,176,0.1,98.6
72.9,80.2,219,0.2,98.8
80.2,88.2,185,0.1,98.9
88.2,97.0,194,0.2,99.1
97.0,106.7,163,0.1,99.2
106.7,117.4,158,0.1,99.3
117.4,129.1,132,0.1,99.4
129.1,142.0,140,0.1,99.5
142.0,156.2,116,0.1,99.6
156.2,171.9,98,0.1,99.7
171.9,189.1,96,0.1,99.8
189.1,208.0,72,0.1,99.8
208.0,228.8,47,0.0,99.9
228.8,251.6,47,0.0,99.9
251.6,276.8,41,0.0,99.9
276.8,304.5,26,0.0,100.0
304.5,334.9,16,0.0,100.0
