Endpoint:,postgres://127.0.0.1/test?sslmode=disable;binary_parameters=yes
Table:,worker
RecordLimit:,100000
Workers:,30
PaddingSize:,
Workload:,insert


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,4,0.0,0.0
1.0,1.1,59609,59.6,59.6
1.1,1.2,0,0.0,59.6
1.2,1.3,0,0.0,59.6
1.3,1.5,0,0.0,59.6
1.5,1.6,0,0.0,59.6
1.6,1.8,0,0.0,59.6
1.8,1.9,0,0.0,59.6
1.9,2.1,15304,15.3,74.9
2.1,2.4,0,0.0,74.9
2.4,2.6,0,0.0,74.9
2.6,2.9,0,0.0,74.9
2.9,3.1,4889,4.9,79.8
3.1,3.5,0,0.0,79.8
3.5,3.8,0,0.0,79.8
3.8,4.2,1664,1.7,81.4
4.2,4.6,0,0.0,81.4
4.6,5.1,177,0.2,81.6
5.1,5.6,0,0.0,81.6
5.6,6.1,33,0.0,81.7
6.1,6.7,0,0.0,81.7
6.7,7.4,17,0.0,81.7
7.4,8.1,15,0.0,81.7
8.1,9.0,0,0.0,81.7
9.0,9.8,5,0.0,81.7
9.8,10.8,6,0.0,81.7
10.8,11.9,22,0.0,81.7
11.9,13.1,1506,1.5,83.2
13.1,14.4,1039,1.0,84.3
14.4,15.9,1020,1.0,85.3
15.9,17.4,1074,1.1,86.4
17.4,19.2,268,0.3,86.6
19.2,21.1,41,0.0,86.7
21.1,23.2,190,0.2,86.9
23.2,25.5,885,0.9,87.7
25.5,28.1,2293,2.3,90.0
28.1,30.9,903,0.9,90.9
30.9,34.0,467,0.5,91.4
34.0,37.4,189,0.2,91.6
37.4,41.1,778,0.8,92.4
41.1,45.3,482,0.5,92.9
45.3,49.8,330,0.3,93.2
49.8,54.8,1219,1.2,94.4
54.8,60.2,598,0.6,95.0
60.2,66.3,266,0.3,95.3
66.3,72.9,291,0.3,95.6
72.9,80.2,675,0.7,96.2
80.2,88.2,342,0.3,96.6
88.2,97.0,195,0.2,96.8
97.0,106.7,440,0.4,97.2
106.7,117.4,225,0.2,97.4
117.4,129.1,282,0.3,97.7
129.1,142.0,238,0.2,98.0
142.0,156.2,241,0.2,98.2
156.2,171.9,194,0.2,98.4
171.9,189.1,249,0.2,98.6
189.1,208.0,152,0.2,98.8
208.0,228.8,149,0.1,98.9
228.8,251.6,125,0.1,99.1
251.6,276.8,109,0.1,99.2
276.8,304.5,125,0.1,99.3
304.5,334.9,83,0.1,99.4
334.9,368.4,81,0.1,99.5
368.4,405.3,64,0.1,99.5
405.3,445.8,61,0.1,99.6
445.8,490.4,55,0.1,99.6
490.4,539.4,42,0.0,99.7
539.4,593.3,49,0.0,99.7
593.3,652.7,45,0.0,99.8
652.7,718.0,36,0.0,99.8
718.0,789.7,34,0.0,99.8
789.7,868.7,29,0.0,99.9
868.7,955.6,28,0.0,99.9
955.6,1051.2,24,0.0,99.9
1051.2,1156.3,19,0.0,99.9
1156.3,1271.9,15,0.0,100.0
1271.9,1399.1,11,0.0,100.0
1399.1,1539.0,7,0.0,100.0
1539.0,1692.9,6,0.0,100.0
1692.9,1862.2,6,0.0,100.0
1862.2,2048.4,4,0.0,100.0
2048.4,2253.2,5,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,1,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
